You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0550
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0188_P1_v4", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "How does one identify the winning team in an Oxford-style IQ2 debate?"}
{"pair_id": "d2_s0193_P2_v1", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "Describe the target languages of this paper's document clustering method and the way it builds language-independent representations."}
{"pair_id": "d2_s0193_P2_v4", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "I want to know the languages handled by this paper's clustering method and its procedure for building language-independent representations."}
{"pair_id": "d2_s0193_P3_v1", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "what languages does this papers doc clustering method target n how does it build language independent representations?"}
{"pair_id": "d2_s0193_P3_v3", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "which langs does this paper's document clustering target and how does it make lang independent representaitons"}
{"pair_id": "d2_s0193_P3_v4", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "target languages + how it builds lang-independent reps for the clustering method in this paper?"}
{"pair_id": "d2_s0194_N1_v1", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "How does the 'translated semantic fingerprints' method represent a document when clustering Russian and Ukrainian academic texts?"}
{"pair_id": "d2_s0194_N1_v2", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "Which clustering algorithm was applied to the translated semantic fingerprints of Russian and Ukrainian academic texts?"}
{"pair_id": "d2_s0194_N2_v1", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "What error rate did the 'translated semantic fingerprints' method achieve on the Ukrainian academic texts alone?"}
{"pair_id": "d2_s0194_N2_v2", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "What error rate did the 'translated semantic fingerprints' method achieve when clustering academic texts in all languages tested?"}
{"pair_id": "d2_s0194_N3_v1", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and English academic texts by topic?"}
{"pair_id": "d2_s0194_N5_v4", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "At least how many incorrect assignments did the 'translated semantic fingerprints' method make on Russian and Ukrainian academic texts?"}
{"pair_id": "d2_s0194_N6_v1", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "Why did the 'translated semantic fingerprints' method still misassign some Russian and Ukrainian academic texts by topic?"}
{"pair_id": "d2_s0194_P1_v3", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "What proportion of assignments did the translated semantic fingerprints method get wrong when clustering Russian and Ukrainian academic texts by topic?"}
{"pair_id": "d2_s0194_P2_v1", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "Report the error rate achieved by the 'translated semantic fingerprints' method on topic clustering of Russian and Ukrainian academic texts."}
{"pair_id": "d2_s0194_P2_v4", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "I'd like the error rate for the 'translated semantic fingerprints' method clustering Russian and Ukrainian academic texts topically."}
{"pair_id": "d2_s0194_P3_v2", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "translated semantic fingerprints - error rate on clustering ru/ua academic texts by topic??"}
{"pair_id": "d2_s0194_P3_v3", "cached_question": "What error rate did the 'translated semantic fingerprints' method achieve when clustering Russian and Ukrainian academic texts by topic?", "cached_answer": "It achieved almost exact clustering with only 5% of incorrect assignments.", "new_query": "how bad was the eror rate of translated semantic fingerprints when clusterng russian and ukranian academic texts by topic"}
{"pair_id": "d2_s0195_N2_v2", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Which baseline methods do all of the clustering approaches in the paper outperform?"}
{"pair_id": "d2_s0195_N3_v1", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Which two baseline methods does the proposed classification approach outperform?"}
{"pair_id": "d2_s0195_N4_v2", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Which baseline method does the proposed clustering approach fail to outperform?"}
{"pair_id": "d2_s0195_N5_v1", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Which baseline does the proposed clustering approach outperform by the largest margin?"}
{"pair_id": "d2_s0195_N5_v2", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Which baseline does the proposed clustering approach outperform by the smallest margin?"}
{"pair_id": "d2_s0195_P1_v2", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Which pair of baselines does the new clustering method surpass?"}
{"pair_id": "d2_s0195_P1_v4", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "Name the two baseline systems that the proposed clustering method does better than."}
{"pair_id": "d2_s0195_P2_v1", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "List the two baselines outperformed by the proposed clustering approach."}
{"pair_id": "d2_s0195_P2_v4", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "I need the two baselines that the proposed clustering approach was compared against and beat."}
{"pair_id": "d2_s0195_P3_v1", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "which 2 baselines does the proposed clustering approach outperform?"}
{"pair_id": "d2_s0195_P3_v4", "cached_question": "Which two baseline methods does the proposed clustering approach outperform?", "cached_answer": "It outperforms a naive bag-of-words baseline and an 'orthographic translation' method based on Damerau-Levenshtein distance, even when the latter is enriched with dictionary mappings.", "new_query": "the 2 baseline methods beaten by the clustering approach - what r they"}
{"pair_id": "d2_s0200_N1_v1", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "How were causal statements identified within the Twitter corpus?"}
{"pair_id": "d2_s0200_N1_v2", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "How many tweets ended up in the causal-statement Twitter corpus?"}
{"pair_id": "d2_s0200_N2_v1", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "What data source and sampling method were used to build the English-only portion of the causal-statement Twitter corpus?"}
{"pair_id": "d2_s0200_N3_v1", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "What data source and sampling method were used to build the causal-statement Reddit corpus?"}
{"pair_id": "d2_s0200_N3_v2", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "What data source and sampling method were used to build the control non-causal Twitter corpus?"}
{"pair_id": "d2_s0200_N5_v2", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "What is the date of the earliest post in the causal-statement Twitter corpus?"}
{"pair_id": "d2_s0200_P1_v2", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "How was the causal-statement Twitter corpus sourced and sampled?"}
{"pair_id": "d2_s0200_P1_v3", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "From what data source and with what sampling strategy was the corpus of causal statements from Twitter assembled?"}
{"pair_id": "d2_s0200_P2_v1", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "Tell me the data source and sampling method behind the causal-statement Twitter corpus."}
{"pair_id": "d2_s0200_P2_v4", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "I need the source of the data and the sampling method for the causal-statement corpus from Twitter."}
{"pair_id": "d2_s0200_P3_v1", "cached_question": "What data source and sampling method were used to build the causal-statement Twitter corpus?", "cached_answer": "The corpus was built from a 10% uniform sample of Twitter posts made during 2013, collected via the Gardenhose API.", "new_query": "what data source n sampling method were used for the causal statement twitter corpus?"}
