You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0591
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0562_P3_v4", "cached_question": "According to the 2007 National Assessment Center survey, what proportion of gang members use the Internet heavily each week?", "cached_answer": "25% of individuals in gangs use the Internet for at least 4 hours a week.", "new_query": "2007 NAC survey: gang members heavy internet use each wk = what proportion?"}
{"pair_id": "d2_s0567_N2_v2", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "What speaker recognition approach does the Intelligent Voice (IV) system use for its telephone-speech subsystem?"}
{"pair_id": "d2_s0567_N4_v2", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "Which outdated speaker recognition approach did the Intelligent Voice (IV) system replace?"}
{"pair_id": "d2_s0567_N5_v1", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "What is the oldest speaker recognition approach still used in the Intelligent Voice (IV) system?"}
{"pair_id": "d2_s0567_P1_v3", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "On what speaker recognition framework is the Intelligent Voice (IV) system built?"}
{"pair_id": "d2_s0567_P1_v4", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "What kind of speaker recognition approach underlies the IV (Intelligent Voice) system?"}
{"pair_id": "d2_s0567_P2_v1", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "Describe the speaker recognition approach behind the Intelligent Voice (IV) system."}
{"pair_id": "d2_s0567_P2_v4", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "I'd like to know which speaker recognition approach the Intelligent Voice (IV) system is based on."}
{"pair_id": "d2_s0567_P3_v2", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "IV system (intelligent voice) — which speaker recog approach do they use??"}
{"pair_id": "d2_s0568_N1_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "How long was each of the unlabelled telephone calls that NIST provided?"}
{"pair_id": "d2_s0568_N2_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "How many labelled and unlabelled telephone calls in total did NIST provide across all these languages?"}
{"pair_id": "d2_s0568_N3_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "How many unlabelled broadcast recordings did NIST provide for minor and major languages, and which languages were they?"}
{"pair_id": "d2_s0568_N4_v3", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "How many telephone calls did NIST withhold rather than provide for the minor and major languages?"}
{"pair_id": "d2_s0568_N5_v1", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "Which of these languages had the most unlabelled telephone calls provided by NIST?"}
{"pair_id": "d2_s0568_N5_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "Which of these languages had the fewest unlabelled telephone calls from NIST?"}
{"pair_id": "d2_s0568_N6_v1", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "Why did NIST leave those telephone calls unlabelled for the minor and major languages?"}
{"pair_id": "d2_s0568_N6_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "How were NIST's unlabelled telephone calls for minor and major languages split between training and test sets?"}
{"pair_id": "d2_s0568_P1_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "What number of unlabelled telephone recordings did NIST release for minor and major languages, and which languages were involved?"}
{"pair_id": "d2_s0568_P1_v4", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "Can you tell me the count of unlabelled telephone calls NIST provided across minor and major languages, plus the language names?"}
{"pair_id": "d2_s0568_P2_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "I'd like the number of unlabelled telephone calls provided by NIST for minor and major languages, together with the languages involved."}
{"pair_id": "d2_s0568_P2_v4", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "List the languages and give the total of unlabelled telephone calls that NIST made available for minor and major languages."}
{"pair_id": "d2_s0568_P3_v1", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "how many unlabelled telephone calls did nist provide for minor n major languages, n which langs were they?"}
{"pair_id": "d2_s0568_P3_v2", "cached_question": "How many unlabelled telephone calls did NIST provide for minor and major languages, and which languages were they?", "cached_answer": "NIST provided 2472 unlabelled telephone calls from minor languages (Cebuano and Mandarin) and major languages (Tagalog and Cantonese).", "new_query": "NIST unlabelled phone calls for minor/major langs — how many + which languages??"}
{"pair_id": "d2_s0572_N2_v1", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "As of October 2016, how many PubMed citations had full-text links, and how many such citations were added in the first three quarters?"}
{"pair_id": "d2_s0572_N2_v2", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "As of October 2016, how many clinical trial citations did PubMed contain?"}
{"pair_id": "d2_s0572_N3_v2", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "As of October 2018, how many citations did PubMed contain, and how many were added in the first three quarters of that year?"}
{"pair_id": "d2_s0572_N4_v1", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "How many citations were removed from PubMed during the first three quarters of 2016?"}
{"pair_id": "d2_s0572_N4_v4", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "As of October 2016, how many of PubMed's citations were not added during that year?"}
{"pair_id": "d2_s0572_N5_v1", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "In which quarter of 2016 did PubMed add the most citations?"}
{"pair_id": "d2_s0572_N5_v3", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "As of October 2016, at most how many citations did PubMed contain?"}
{"pair_id": "d2_s0572_P1_v3", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "By October 2016, how many citations were in PubMed, and how many had been added in the first nine months of the year?"}
{"pair_id": "d2_s0572_P2_v2", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "Give me PubMed's total citation count as of October 2016 along with the additions from the first three quarters of that year."}
{"pair_id": "d2_s0572_P2_v4", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "As of October 2016, what totals are reported for PubMed's citations and for the additions made in the year's first three quarters?"}
{"pair_id": "d2_s0572_P3_v1", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "as of oct 2016 how many citations did pubmed have n how many were added in the first 3 quarters?"}
{"pair_id": "d2_s0572_P3_v2", "cached_question": "As of October 2016, how many citations did PubMed contain, and how many were added in the first three quarters of that year?", "cached_answer": "PubMed housed over 26 million citations as of October 2016, with almost 1 million added during the first three quarters of 2016 alone.", "new_query": "pubmed oct 2016 — total citations + additions in first 3 qtrs??"}
{"pair_id": "d2_s0573_N2_v2", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "What percentage of PubMed searches result in at least one click on any search result?"}
{"pair_id": "d2_s0573_N3_v1", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "What percentage of Google Scholar searches result in at least one click on a related article?"}
{"pair_id": "d2_s0573_N3_v2", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "What percentage of PubMed searches result in at least one click on a cited reference?"}
{"pair_id": "d2_s0573_N4_v1", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "What percentage of PubMed searches result in no clicks on any related article?"}
{"pair_id": "d2_s0573_N4_v2", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "What percentage of automated, non-user PubMed queries result in a click on a related article?"}
