You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0584
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0501_P2_v4", "cached_question": "What kind of classifier and features are used for drunk-texting prediction?", "cached_answer": "SVM-based classifiers are used, with N-gram features and stylistic features like capitalisation and spelling errors.", "new_query": "I'd like to know the classifier type and the features behind drunk-texting prediction."}
{"pair_id": "d2_s0506_P1_v3", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "How high were Civique's F-scores for spotting emergencies and for sorting them into types?"}
{"pair_id": "d2_s0506_P1_v4", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "What were Civique's F-score results for emergency identification and emergency classification?"}
{"pair_id": "d2_s0506_P2_v1", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "Tell me the F-scores Civique achieved for emergency detection and for categorizing emergencies."}
{"pair_id": "d2_s0506_P2_v2", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "For emergency detection and categorization, Civique's classifiers reached which F-scores?"}
{"pair_id": "d2_s0506_P3_v1", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "what f scores did civique get for emergency detection n categorization?"}
{"pair_id": "d2_s0506_P3_v3", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "wht f-scors did the civique systm achieve for emergency detectn and categorizing"}
{"pair_id": "d2_s0507_N1_v1", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "How does Civique notify authorities once it detects an emergency tweet?"}
{"pair_id": "d2_s0507_N1_v2", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "Which classifiers does Civique use to detect emergency tweets?"}
{"pair_id": "d2_s0507_N2_v1", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "Which subtypes of fire emergencies does Civique distinguish among tweets?"}
{"pair_id": "d2_s0507_N3_v2", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "What types of emergency categories does Civique classify news articles into?"}
{"pair_id": "d2_s0507_N4_v1", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "Which tweets does Civique classify as non-emergency?"}
{"pair_id": "d2_s0507_N5_v1", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "Which emergency category does Civique detect most often in tweets?"}
{"pair_id": "d2_s0507_N6_v1", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "How does Civique verify a tweet once it is classified as a fire emergency?"}
{"pair_id": "d2_s0507_P1_v2", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "What kinds of emergency classes does Civique assign to tweets?"}
{"pair_id": "d2_s0507_P2_v3", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "I'd like to know which emergency categories Civique's tweet classification covers."}
{"pair_id": "d2_s0507_P3_v1", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "what types of emergency categories does civique classify tweets into?"}
{"pair_id": "d2_s0507_P3_v2", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "civique classifies tweets into wat emergency categories ??"}
{"pair_id": "d2_s0507_P3_v3", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "which emergncy categories does Civique put tweets in"}
{"pair_id": "d2_s0507_P3_v4", "cached_question": "What types of emergency categories does Civique classify tweets into?", "cached_answer": "Civique classifies emergency-related tweets into categories such as fire, accident, and earthquake.", "new_query": "civique tweet classification - emergency catgories are what"}
{"pair_id": "d2_s0508_N1_v1", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "What magnitude was the 2015 Nepal earthquake?"}
{"pair_id": "d2_s0508_N2_v1", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "How many earthquakes did Nepal alone experience in 2015, and how many people did the Nepal earthquake kill?"}
{"pair_id": "d2_s0508_N2_v2", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "How many earthquakes did the whole of Asia experience in 2015, and how many people did the Nepal earthquake kill?"}
{"pair_id": "d2_s0508_N3_v1", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "How many earthquakes did the Indian subcontinent experience in 2016, and how many people did the Nepal earthquake kill?"}
{"pair_id": "d2_s0508_N3_v2", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Gujarat earthquake kill?"}
{"pair_id": "d2_s0508_P2_v1", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "Tell me the count of 2015 earthquakes in the Indian subcontinent and the Nepal earthquake's death toll."}
{"pair_id": "d2_s0508_P2_v3", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "I need two figures: earthquakes in the Indian subcontinent in 2015, and deaths from the Nepal earthquake."}
{"pair_id": "d2_s0508_P2_v4", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "For 2015, give the number of earthquakes in the Indian subcontinent along with the Nepal earthquake fatalities."}
{"pair_id": "d2_s0508_P3_v1", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "how many earthquakes in indian subcontinent in 2015 n how many ppl died in nepal earthquake?"}
{"pair_id": "d2_s0508_P3_v2", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "how mny eathquakes did the indian subcontinent hav in 2015 + nepal quake death toll??"}
{"pair_id": "d2_s0508_P3_v3", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "indian subcontinent 2015 — no. of earthquakes n nepal quake deaths?"}
{"pair_id": "d2_s0508_P3_v4", "cached_question": "How many earthquakes did the Indian subcontinent experience in 2015, and how many people did the Nepal earthquake kill?", "cached_answer": "The Indian subcontinent suffered seven earthquakes in 2015, and the Nepal earthquake alone killed more than 9000 people.", "new_query": "hw many quakes india 2015 and hw many killed by the nepal quake"}
{"pair_id": "d2_s0512_N2_v1", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "On which specific test set was the pre-translation approach evaluated, and by how much did it outperform PBMT and baseline NMT there?"}
{"pair_id": "d2_s0512_N3_v2", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "On which translation task was the back-translation approach evaluated, and by how much did it outperform PBMT and baseline NMT?"}
{"pair_id": "d2_s0512_N4_v2", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "On which translation task did the pre-translation approach fail to beat the PBMT and baseline NMT systems?"}
{"pair_id": "d2_s0512_P1_v2", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "On what translation task was pre-translation tested, and how much better was it than PBMT and the baseline NMT?"}
{"pair_id": "d2_s0512_P1_v3", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "Where was the pre-translation method evaluated, and by how many points did it exceed PBMT and baseline NMT?"}
{"pair_id": "d2_s0512_P2_v2", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "Tell me the evaluation task for the pre-translation approach and its margin over the PBMT and baseline NMT systems."}
{"pair_id": "d2_s0512_P2_v4", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "I would like the translation task used in the pre-translation evaluation together with its improvement over PBMT and baseline NMT."}
{"pair_id": "d2_s0512_P3_v1", "cached_question": "On which translation task was the pre-translation approach evaluated, and by how much did it outperform the PBMT and baseline NMT systems?", "cached_answer": "The approach was evaluated on the English to German translation task, where it outperformed both the PBMT system and the baseline neural MT system by up to 2 BLEU points.", "new_query": "which translation task was the pre translation approach evaluated on n by how much did it beat pbmt + baseline nmt?"}
