You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0648
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0210_P2_v3", "cached_question": "At what WCAG version and conformance level does Django aim to comply for accessibility?", "cached_answer": "Django aims to conform with WCAG version 2.2 at the AA level.", "new_query": "I'm auditing accessibility — which WCAG version and level does Django aim to satisfy?"}
{"pair_id": "d3_s0211_N5_v3", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Which screen reader does Django list last for Windows testing, and with which browser?"}
{"pair_id": "d3_s0211_N6_v1", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "How do you install the screen reader Django recommends for testing on Windows?"}
{"pair_id": "d3_s0211_N6_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "What accessibility standard is Django aiming to meet when tested with those Windows screen readers?"}
{"pair_id": "d3_s0211_P1_v3", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Django's accessibility docs advise which screen reader for Windows, together with which browser?"}
{"pair_id": "d3_s0211_P2_v1", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "I'm testing accessibility on Windows — which screen reader and browser combination does Django recommend?"}
{"pair_id": "d3_s0211_P2_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Name the screen reader Django recommends for Windows testing and the browser it should be paired with."}
{"pair_id": "d3_s0211_P2_v4", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "For Django accessibility testing on Windows, what's the recommended screen reader plus browser pairing?"}
{"pair_id": "d3_s0211_P3_v1", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "which screen reader does django recommend on windows n what browser w/ it?"}
{"pair_id": "d3_s0211_P3_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "django a11y testing windows — screenreader + browser combo they recomend??"}
{"pair_id": "d3_s0211_P3_v3", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "wat screen reader shd i use on windows for django testing, paired w which browser"}
{"pair_id": "d3_s0211_P3_v4", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "django docs: recommended screenreader for windows testing and the browser to pair it with, wat r they"}
{"pair_id": "d3_s0212_N1_v1", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "How does Django suggest turning on the screen reader it recommends for testing on macOS?"}
{"pair_id": "d3_s0212_N1_v2", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "What keyboard shortcuts does Django document for the macOS screen reader it recommends?"}
{"pair_id": "d3_s0212_N2_v1", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Which screen readers and browsers does Django recommend for accessibility testing across all operating systems?"}
{"pair_id": "d3_s0212_N3_v1", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Which screen reader does Django recommend for testing on Windows, and which browser?"}
{"pair_id": "d3_s0212_N3_v2", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Which screen reader does Django recommend for testing on Linux, and which browser?"}
{"pair_id": "d3_s0212_N4_v4", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Which screen reader does Django list as unsupported for testing on macOS?"}
{"pair_id": "d3_s0212_N5_v1", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Which screen reader does Django list as the least suitable for testing on macOS?"}
{"pair_id": "d3_s0212_N6_v1", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Why does Django recommend pairing one particular browser with the macOS screen reader for testing?"}
{"pair_id": "d3_s0212_N6_v2", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "Besides screen reader testing on macOS, what other accessibility testing does Django recommend?"}
{"pair_id": "d3_s0212_P3_v1", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "which screen reader does django recommend for testing on macos n which browser?"}
{"pair_id": "d3_s0212_P3_v2", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "django screenreader recomendation for mac testing + which browser??"}
{"pair_id": "d3_s0212_P3_v4", "cached_question": "Which screen reader does Django recommend for testing on macOS, and which browser?", "cached_answer": "VoiceOver, recommended with Safari.", "new_query": "on mac, which screen readr does django recommed for testing, and which brwoser"}
{"pair_id": "d3_s0213_N1_v2", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "How should accessibility issues found during UI testing be reported to Django?"}
{"pair_id": "d3_s0213_N2_v2", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "What accessibility tools does Django recommend across the whole contribution process, not just UI testing?"}
{"pair_id": "d3_s0213_N3_v2", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "What automated tool does Django recommend for performance checks during UI testing?"}
{"pair_id": "d3_s0213_N4_v2", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "Which accessibility-checking tools does Django advise against during UI testing?"}
{"pair_id": "d3_s0213_N5_v1", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "Which is the only accessibility tool Django accepts for UI testing?"}
{"pair_id": "d3_s0213_N5_v3", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "How many automated accessibility tools does Django list for UI testing?"}
{"pair_id": "d3_s0213_P2_v3", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "When testing the UI, what should I use to run Django's recommended automated accessibility checks?"}
{"pair_id": "d3_s0213_P2_v4", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "Which automated accessibility checker is the one Django tells contributors to use during UI testing?"}
{"pair_id": "d3_s0213_P3_v1", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "what automated tool does django recommend for accessibility checks during ui testing?"}
{"pair_id": "d3_s0213_P3_v3", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "what automated tool does django recomend for accesibility checks durring ui testing"}
{"pair_id": "d3_s0213_P3_v4", "cached_question": "What automated tool does Django recommend for accessibility checks during UI testing?", "cached_answer": "The Accessibility Insights browser extension's automated checks feature, or an equivalent tool with the Axe checker.", "new_query": "django recommended automated accessibility check tool for ui testing, whats it called"}
{"pair_id": "d3_s0217_N1_v1", "cached_question": "Where should security issues in Django be reported, and who has access to that list?", "cached_answer": "Only to security@djangoproject.com — a private list open only to long-time, highly trusted Django developers, and its archives are not public.", "new_query": "What information should you include when reporting a security issue in Django?"}
{"pair_id": "d3_s0217_N2_v1", "cached_question": "Where should security issues in Django be reported, and who has access to that list?", "cached_answer": "Only to security@djangoproject.com — a private list open only to long-time, highly trusted Django developers, and its archives are not public.", "new_query": "Where should security issues in third-party Django packages be reported?"}
{"pair_id": "d3_s0217_N2_v2", "cached_question": "Where should security issues in Django be reported, and who has access to that list?", "cached_answer": "Only to security@djangoproject.com — a private list open only to long-time, highly trusted Django developers, and its archives are not public.", "new_query": "Where should all kinds of Django bugs be reported, and who has access to that list?"}
{"pair_id": "d3_s0217_N3_v1", "cached_question": "Where should security issues in Django be reported, and who has access to that list?", "cached_answer": "Only to security@djangoproject.com — a private list open only to long-time, highly trusted Django developers, and its archives are not public.", "new_query": "Where should security issues in Python be reported, and who has access to that list?"}
{"pair_id": "d3_s0217_N6_v1", "cached_question": "Where should security issues in Django be reported, and who has access to that list?", "cached_answer": "Only to security@djangoproject.com — a private list open only to long-time, highly trusted Django developers, and its archives are not public.", "new_query": "Since Django security issues go to a private list, when are the details of a reported issue made public?"}
