You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0613
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0770_P2_v1", "cached_question": "How many tweets remained in the final hate speech corpus after all filtering steps?", "cached_answer": "The final corpus consists of 541 tweets, none of which are duplicates, contain links or pictures, or are retweets or replies.", "new_query": "Tell me the tweet count of the hate speech corpus that remained after all filtering steps."}
{"pair_id": "d2_s0771_P2_v1", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "Tell me the number of annotators, the number of tweets rated, and the finding from the study's preliminary step."}
{"pair_id": "d2_s0771_P2_v3", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "I'd like the annotator count, the tweet count, and the result of the study's preliminary step."}
{"pair_id": "d2_s0771_P3_v2", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "prelim step of the study — how many annotators, how many tweets, what did they find??"}
{"pair_id": "d2_s0771_P3_v4", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "study's prelim step: no. of annotators + no. of tweets rated + what they found?"}
{"pair_id": "d2_s0775_N1_v1", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "Which depressive symptom categories are annotated in that Twitter dataset?"}
{"pair_id": "d2_s0775_N2_v1", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "How many annotations and tweets are in the test split of the depressive symptom Twitter dataset?"}
{"pair_id": "d2_s0775_N2_v2", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "How many annotations and documents are in all datasets used in the depressive symptom study, including the non-Twitter ones?"}
{"pair_id": "d2_s0775_N3_v2", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "How many annotations and how many tweets does the Twitter dataset used for classifying anxiety symptoms contain?"}
{"pair_id": "d2_s0775_N4_v1", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "How many tweets in that Twitter dataset were left unannotated for depressive symptoms?"}
{"pair_id": "d2_s0775_N4_v2", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "How many annotations and tweets were excluded from the depressive symptom Twitter dataset?"}
{"pair_id": "d2_s0775_N5_v1", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "What is the maximum number of annotations any single tweet in that depressive symptom dataset received?"}
{"pair_id": "d2_s0775_N5_v2", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "What is the smallest number of annotations assigned to a tweet in that depressive symptom dataset?"}
{"pair_id": "d2_s0775_N6_v1", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "Why does the depressive symptom Twitter dataset contain more annotations than tweets?"}
{"pair_id": "d2_s0775_P1_v2", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "What is the number of labels and the number of tweets in the Twitter corpus used for depressive symptom classification?"}
{"pair_id": "d2_s0775_P1_v3", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "For the depressive-symptom classification task, how big is the Twitter dataset in terms of annotations and tweets?"}
{"pair_id": "d2_s0775_P1_v4", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "How many annotated items and how many individual tweets make up the depression symptom Twitter dataset?"}
{"pair_id": "d2_s0775_P2_v1", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "Give me the annotation count and the tweet count for the Twitter dataset used in depressive symptom classification."}
{"pair_id": "d2_s0775_P2_v3", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "I'd like to know the size of the depressive-symptom Twitter dataset, both in annotations and in tweets."}
{"pair_id": "d2_s0775_P2_v4", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "In the dataset used to classify depressive symptoms, what totals are reported for annotations and for tweets?"}
{"pair_id": "d2_s0775_P3_v2", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "nr of annotations + tweets in the depressive symptom twitter dataset??"}
{"pair_id": "d2_s0775_P3_v3", "cached_question": "How many annotations and how many tweets does the Twitter dataset used for classifying depressive symptoms contain?", "cached_answer": "The dataset contains 9,473 annotations for 9,300 tweets.", "new_query": "twitter dataset used 4 depressive symptom classification — how many anntations and tweets"}
{"pair_id": "d2_s0776_N2_v2", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "By how many points did the average F1-score drop across all symptoms when lexical features were removed?"}
{"pair_id": "d2_s0776_N4_v1", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "By how many points did the F1-score rise for detecting depressed mood and disturbed sleep when lexical features were removed?"}
{"pair_id": "d2_s0776_N5_v1", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "What was the largest F1-score drop among the symptoms when lexical features were removed?"}
{"pair_id": "d2_s0776_N5_v2", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "What was the smallest F1-score drop caused by removing lexical features?"}
{"pair_id": "d2_s0776_N6_v2", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "What F1-score remained for depressed mood and disturbed sleep after lexical features were removed?"}
{"pair_id": "d2_s0776_P1_v1", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "How many points of F1 were lost for depressed mood and disturbed sleep detection when lexical features were dropped?"}
{"pair_id": "d2_s0776_P1_v4", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "How large, in F1 points, was the drop for depressed mood and disturbed sleep detection without lexical features?"}
{"pair_id": "d2_s0776_P2_v3", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "The removal of lexical features cost how many F1 points on depressed mood and disturbed sleep detection?"}
{"pair_id": "d2_s0776_P3_v1", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "by how many points did f1 drop for depressed mood n disturbed sleep when lexical features were removed?"}
{"pair_id": "d2_s0776_P3_v3", "cached_question": "By how many points did the F1-score drop for detecting depressed mood and disturbed sleep when lexical features were removed?", "cached_answer": "Removing lexical features caused F1-score drops of 35 points for depressed mood and 43 points for disturbed sleep.", "new_query": "by hw many pts did the F1 score drop for detecting depresed mood and disturbd sleep whn lexical featurs were removd"}
{"pair_id": "d2_s0777_N1_v1", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "What F1-score did the classifier for fatigue or loss of energy achieve at its optimum?"}
{"pair_id": "d2_s0777_N2_v1", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "At what feature percentile and feature count did the fatigue or loss of energy classifier achieve optimal F1 on the female subgroup?"}
{"pair_id": "d2_s0777_N3_v1", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "At what feature percentile and feature count did the classifier for depressed mood achieve its optimal F1-score?"}
{"pair_id": "d2_s0777_N3_v2", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "At what feature percentile and feature count did the classifier for insomnia or hypersomnia achieve its optimal F1-score?"}
{"pair_id": "d2_s0777_N4_v1", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "At what feature percentile and feature count did the fatigue or loss of energy classifier record its worst F1-score?"}
{"pair_id": "d2_s0777_N4_v4", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "Using bottom-ranked rather than top ranked features, what F1-score did the fatigue or loss of energy classifier reach?"}
{"pair_id": "d2_s0777_P1_v1", "cached_question": "At what feature percentile and feature count did the classifier for fatigue or loss of energy achieve its optimal F1-score?", "cached_answer": "It achieved optimal F1-score performance at the 5th percentile of top ranked features, using 288 features.", "new_query": "At which percentile of top ranked features, and with how many features, did the fatigue or loss of energy classifier reach its best F1-score?"}
