You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0609
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0738_N2_v1", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "In what month did the first MUC challenge take place, marking an early milestone in NER research?"}
{"pair_id": "d2_s0739_P1_v2", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "What instances of unusually-formed named entities does the paper mention as making NER recall hard?"}
{"pair_id": "d2_s0739_P1_v3", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "Which named-entity examples with odd surface forms does the paper use to illustrate poor NER recall?"}
{"pair_id": "d2_s0739_P1_v4", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "What sample named entities with unusual written forms does the paper offer as a challenge to NER recall?"}
{"pair_id": "d2_s0739_P2_v1", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "List the named entities with unusual surface forms that the paper gives as examples of difficult NER recall."}
{"pair_id": "d2_s0739_P2_v2", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "Examples of named entities whose unusual surface forms hurt NER recall are given in the paper - which ones?"}
{"pair_id": "d2_s0739_P3_v3", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "wat named entites w unusual surface forms does the papr give as exampls of hard ner recall"}
{"pair_id": "d2_s0739_P3_v4", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "examples in the paper: NEs with unusual surface forms -> difficult NER recall, which ones"}
{"pair_id": "d2_s0740_N1_v1", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "Which NER model does this study evaluate on its benchmark corpora?"}
{"pair_id": "d2_s0740_N4_v1", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "Which text genres are not covered by this study's benchmark NER corpora?"}
{"pair_id": "d2_s0740_P1_v1", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "How many benchmark NER datasets does this study rely on, and which text genres do they cover?"}
{"pair_id": "d2_s0740_P1_v2", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "What number of benchmark NER corpora are used here, and what genres of text do they represent?"}
{"pair_id": "d2_s0740_P1_v3", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "How many NER benchmark collections does the study employ, and across what kinds of text?"}
{"pair_id": "d2_s0740_P2_v1", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "Give the count of benchmark NER corpora used in this study along with the genres they span."}
{"pair_id": "d2_s0740_P2_v2", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "This study uses benchmark NER corpora spanning which genres, and how many of them are there?"}
{"pair_id": "d2_s0740_P2_v3", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "I'd like the number of NER benchmark corpora in this study and the text genres they cover."}
{"pair_id": "d2_s0740_P2_v4", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "Could you report both the quantity of benchmark NER corpora and their genre coverage in this study?"}
{"pair_id": "d2_s0740_P3_v2", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "no. of benchmark ner corpora in this study + which text genres??"}
{"pair_id": "d2_s0740_P3_v4", "cached_question": "How many benchmark NER corpora does this study use, and what text genres do they span?", "cached_answer": "Seven benchmark corpora, spanning newswire, broadcast conversation, Web content, and social media.", "new_query": "this study uses how many ner corpora, and wat genres of text r covered"}
{"pair_id": "d2_s0744_N2_v2", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "What features in total does the AntSynNET model use for distinguishing antonyms and synonyms?"}
{"pair_id": "d2_s0744_N3_v1", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing hypernyms and hyponyms?"}
{"pair_id": "d2_s0744_N3_v2", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "What new feature does the LexNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?"}
{"pair_id": "d2_s0744_P1_v1", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "What additional feature does AntSynNET introduce beyond the usual lexico-syntactic pattern information for telling antonyms from synonyms?"}
{"pair_id": "d2_s0744_P1_v2", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "Which novel piece of information does the AntSynNET model add to standard lexico-syntactic patterns when distinguishing antonyms and synonyms?"}
{"pair_id": "d2_s0744_P1_v3", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "Beyond conventional lexico-syntactic pattern features, what new signal does AntSynNET incorporate to separate antonyms from synonyms?"}
{"pair_id": "d2_s0744_P1_v4", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "What extra feature does the AntSynNET model use in addition to standard lexico-syntactic pattern information for antonym and synonym discrimination?"}
{"pair_id": "d2_s0744_P2_v1", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "Describe the new feature AntSynNET adds on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms."}
{"pair_id": "d2_s0744_P2_v4", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "I would like to know what AntSynNET contributes beyond standard lexico-syntactic pattern information when it distinguishes antonyms from synonyms."}
{"pair_id": "d2_s0744_P3_v1", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "what new feature does antsynnet add on top of lexico-syntactic pattern info for antonyms vs synonyms?"}
{"pair_id": "d2_s0744_P3_v2", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "antsynnet - wat extra feature besides lexico syntactic patterns for distinguising antonyms n synonyms??"}
{"pair_id": "d2_s0744_P3_v3", "cached_question": "What new feature does the AntSynNET model add on top of standard lexico-syntactic pattern information for distinguishing antonyms and synonyms?", "cached_answer": "It integrates the distance between the two related words along the syntactic path in the parse tree, in addition to the lexical and syntactic pattern information.", "new_query": "new feature in AntSynNET beyond standard lexico syntactic pattern info?? for antonym/synonym task"}
{"pair_id": "d2_s0745_N1_v1", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "What task does AntSynNET use its lexico-syntactic pattern representations for?"}
{"pair_id": "d2_s0745_N1_v2", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "How does AntSynNET extract the lexico-syntactic patterns in the first place?"}
{"pair_id": "d2_s0745_N2_v1", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "What type of neural network does AntSynNET use to encode the distance feature of its lexico-syntactic patterns?"}
{"pair_id": "d2_s0745_N3_v1", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "What type of neural network does LexNET use to encode lexico-syntactic patterns as vector representations?"}
{"pair_id": "d2_s0745_N3_v2", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "What type of neural network does AntSynNET use to encode word pairs as vector representations?"}
{"pair_id": "d2_s0745_P1_v1", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "Which kind of neural network does AntSynNET employ to turn lexico-syntactic patterns into vectors?"}
{"pair_id": "d2_s0745_P1_v3", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "What sort of network does AntSynNET rely on to represent lexico-syntactic patterns as vectors?"}
{"pair_id": "d2_s0745_P1_v4", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "Which neural network type encodes lexico-syntactic patterns into vector form in AntSynNET?"}
{"pair_id": "d2_s0745_P2_v1", "cached_question": "What type of neural network does AntSynNET use to encode lexico-syntactic patterns as vector representations?", "cached_answer": "A recurrent neural network with long short-term memory (LSTM) units.", "new_query": "Name the neural network type AntSynNET uses to encode lexico-syntactic patterns as vector representations."}
