You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0012
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d1_s0067_N1_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "How is the Week 2 deliverable in 1.012 graded?"}
{"pair_id": "d1_s0072_P3_v3", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "who teachs 1.017 computing and data analysis for environmentl applications at mit n when"}
{"pair_id": "d1_s0073_N1_v1", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "What is the course number for MIT's Computing and Data Analysis for Environmental Applications?"}
{"pair_id": "d1_s0073_N4_v1", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "Which MIT department does not offer Computing and Data Analysis for Environmental Applications?"}
{"pair_id": "d1_s0073_N4_v2", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "Is MIT's Computing and Data Analysis for Environmental Applications course offered outside Civil and Environmental Engineering?"}
{"pair_id": "d1_s0073_N5_v1", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "How many departments offer MIT's Computing and Data Analysis for Environmental Applications course?"}
{"pair_id": "d1_s0073_N5_v3", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "Which MIT department offers the most environmental computing courses?"}
{"pair_id": "d1_s0073_N6_v1", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "Which Civil and Environmental Engineering professor teaches MIT's Computing and Data Analysis for Environmental Applications?"}
{"pair_id": "d1_s0073_N6_v2", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "How many exams does the department schedule for MIT's Computing and Data Analysis for Environmental Applications?"}
{"pair_id": "d1_s0073_P2_v3", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "At MIT, under which department does Computing and Data Analysis for Environmental Applications fall?"}
{"pair_id": "d1_s0073_P2_v4", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "I'd like to know the offering department for MIT's Computing and Data Analysis for Environmental Applications course."}
{"pair_id": "d1_s0073_P3_v1", "cached_question": "Which department offers MIT's Computing and Data Analysis for Environmental Applications course?", "cached_answer": "Civil and Environmental Engineering.", "new_query": "which dept offers mit's computing and data analysis for environmental applications course"}
{"pair_id": "d1_s0074_N2_v1", "cached_question": "Does the 2003 Quiz 3 exam for course 1.017 come with solutions?", "cached_answer": "No, the 2003 Quiz 3 is provided as a PDF without accompanying solutions.", "new_query": "Does every 2003 quiz for course 1.017 come with solutions?"}
{"pair_id": "d1_s0074_N2_v2", "cached_question": "Does the 2003 Quiz 3 exam for course 1.017 come with solutions?", "cached_answer": "No, the 2003 Quiz 3 is provided as a PDF without accompanying solutions.", "new_query": "Does Problem 2 of the 2003 Quiz 3 in 1.017 come with a solution?"}
{"pair_id": "d1_s0074_N5_v2", "cached_question": "Does the 2003 Quiz 3 exam for course 1.017 come with solutions?", "cached_answer": "No, the 2003 Quiz 3 is provided as a PDF without accompanying solutions.", "new_query": "Does the most recent Quiz 3 for course 1.017 come with solutions?"}
{"pair_id": "d1_s0074_N6_v1", "cached_question": "Does the 2003 Quiz 3 exam for course 1.017 come with solutions?", "cached_answer": "No, the 2003 Quiz 3 is provided as a PDF without accompanying solutions.", "new_query": "Where can I find the solutions to the 2003 Quiz 3 for course 1.017?"}
{"pair_id": "d1_s0074_P1_v2", "cached_question": "Does the 2003 Quiz 3 exam for course 1.017 come with solutions?", "cached_answer": "No, the 2003 Quiz 3 is provided as a PDF without accompanying solutions.", "new_query": "Does the 1.017 Quiz 3 from 2003 have an answer key available?"}
