You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0646
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0191_P3_v4", "cached_question": "Which Python and Windows versions does Django's Windows installation guide target?", "cached_answer": "The guide covers installing Python 3.14 (the latest version at time of writing) and Django on Windows, with steps tested on Windows 10.", "new_query": "django install guide windows: which python n windows ver does it target"}
{"pair_id": "d3_s0192_P1_v3", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Per Django's install instructions for Windows, how do I create a venv called 'project-name' and turn it on?"}
{"pair_id": "d3_s0192_P2_v2", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Show me the Windows commands from the Django install guide for creating and activating the 'project-name' virtual environment."}
{"pair_id": "d3_s0192_P3_v1", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "windows: how do i create + activate a venv called project-name per django install guide?"}
{"pair_id": "d3_s0192_P3_v3", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "cmds to make and activate virtualenv named project-name on windows (django install guide) ??"}
{"pair_id": "d3_s0193_N2_v2", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "How do you install Django on any operating system and verify the installation succeeded?"}
{"pair_id": "d3_s0193_N3_v1", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "How do you install Django on macOS and verify the installation succeeded?"}
{"pair_id": "d3_s0193_N4_v1", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "How do you uninstall Django on Windows and verify it is gone?"}
{"pair_id": "d3_s0193_N4_v3", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "How do you tell that a Django installation on Windows failed?"}
{"pair_id": "d3_s0193_N5_v1", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "How do you install the earliest supported Django version on Windows?"}
{"pair_id": "d3_s0193_N5_v4", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "How do you install Django on Windows pinned to at most a given version?"}
{"pair_id": "d3_s0193_P1_v4", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "Which commands install Django under Windows and confirm it is properly installed?"}
{"pair_id": "d3_s0193_P2_v1", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "Walk me through installing Django on Windows and verifying it afterwards."}
{"pair_id": "d3_s0193_P2_v2", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "Django on Windows: which command installs it, and which one proves it's there?"}
{"pair_id": "d3_s0193_P2_v3", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "I'm on Windows and need Django installed plus a check that it worked."}
{"pair_id": "d3_s0193_P2_v4", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "Give the install command for Django on Windows along with the verification command."}
{"pair_id": "d3_s0193_P3_v1", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "how do u install django on windows n verify the install worked?"}
{"pair_id": "d3_s0193_P3_v2", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "windows django install + how 2 check it worked??"}
{"pair_id": "d3_s0193_P3_v4", "cached_question": "How do you install Django on Windows and verify the installation succeeded?", "cached_answer": "Run `py -m pip install Django` inside the active virtual environment, then verify it with `django-admin --version`.", "new_query": "django install windows, then how do i confirm its ok"}
{"pair_id": "d3_s0194_N1_v1", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "Why does Django's colored terminal output render badly on Windows?"}
{"pair_id": "d3_s0194_N1_v2", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How can you customize Django's terminal color palette on Windows?"}
{"pair_id": "d3_s0194_N2_v1", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How can you disable colored terminal output for just the runserver command in Django on Windows?"}
{"pair_id": "d3_s0194_N2_v2", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How can you disable colored terminal output for all Python command-line tools on Windows?"}
{"pair_id": "d3_s0194_N3_v1", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How can you disable colored terminal output in pip on Windows?"}
{"pair_id": "d3_s0194_N4_v1", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How can you enable colored terminal output in Django on Windows?"}
{"pair_id": "d3_s0194_N6_v2", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "Why does Django turn colored terminal output on by default on Windows?"}
{"pair_id": "d3_s0194_P1_v3", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How can Django's colorized console output be disabled on a Windows machine?"}
{"pair_id": "d3_s0194_P1_v4", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "How do I stop Django from printing colored output in the Windows terminal?"}
{"pair_id": "d3_s0194_P2_v3", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "On Windows, what needs to be set so Django stops coloring its terminal output?"}
{"pair_id": "d3_s0194_P2_v4", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "I want Django's terminal output uncolored on Windows; what do I need to do?"}
{"pair_id": "d3_s0194_P3_v2", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "django windows — how 2 turn off colored terminal output??"}
{"pair_id": "d3_s0194_P3_v3", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "how do i disable colord terminal ouput in django on windos"}
{"pair_id": "d3_s0194_P3_v4", "cached_question": "How can you disable colored terminal output in Django on Windows?", "cached_answer": "Set the DJANGO_COLORS environment variable to \"nocolor\".", "new_query": "disable django color output on windows, how"}
{"pair_id": "d3_s0197_N2_v1", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "How can a Django migration determine which database it is running against inside a RunSQL operation?"}
{"pair_id": "d3_s0197_N2_v2", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "How can any part of a Django application determine which database it is using when multiple databases are configured?"}
{"pair_id": "d3_s0197_N3_v1", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "How can a Django database router determine which database it is running against when using multiple databases?"}
{"pair_id": "d3_s0197_N3_v2", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "How can a Django migration determine which schema it is running against when using multiple schemas?"}
{"pair_id": "d3_s0197_N4_v3", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "How can a Django migration determine which database it is running against outside a RunPython operation?"}
{"pair_id": "d3_s0197_N4_v4", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "How can a Django migration ignore which database it is running against when using multiple databases?"}
{"pair_id": "d3_s0197_N5_v2", "cached_question": "How can a Django migration determine which database it is running against when using multiple databases?", "cached_answer": "By checking the database connection's alias via schema_editor.connection.alias inside a RunPython operation.", "new_query": "What is the maximum number of databases a single Django migration can run against?"}
