You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0018
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d1_s0110_N3_v2", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "In which lecture of the 1.018J course calendar is problem set 1 assigned?"}
{"pair_id": "d1_s0111_N4_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Which non-MIT speaker gives the CI lecture on getting started with the term project in Lecture 4?"}
{"pair_id": "d1_s0111_N5_v3", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "At most how many speakers give the CI lecture on getting started with the term project?"}
{"pair_id": "d1_s0111_N6_v1", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "What should students prepare before the Lecture 4 CI lecture on getting started with the term project?"}
{"pair_id": "d1_s0111_N6_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Is attendance mandatory at the Lecture 4 CI lecture on getting started with the term project?"}
{"pair_id": "d1_s0111_P1_v1", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Who delivers the CI lecture about starting the term project in Lecture 4, and where are they from?"}
{"pair_id": "d1_s0111_P1_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Which speaker presents the Lecture 4 CI session on getting the term project started, and what is their institutional affiliation?"}
{"pair_id": "d1_s0111_P1_v3", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Who leads the CI lecture on beginning the term project during Lecture 4, and what unit are they with?"}
{"pair_id": "d1_s0111_P1_v4", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Name the person giving the Lecture 4 CI talk on starting the term project, plus their affiliation."}
{"pair_id": "d1_s0111_P2_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Tell me who the Lecture 4 CI speaker on starting the term project is and where they work."}
{"pair_id": "d1_s0111_P2_v4", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "I'd like the name and affiliation of the person giving Lecture 4's CI talk on getting the term project started."}
{"pair_id": "d1_s0111_P3_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "lec 4 CI lecture on starting term project - who + affiliation??"}
{"pair_id": "d1_s0111_P3_v3", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "whos giving the ci lectur on gettng started with the term project in lecture4"}
{"pair_id": "d1_s0115_N1_v1", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "How are the exams weighted in the final grade for 1.018J Ecology I?"}
{"pair_id": "d1_s0115_N1_v2", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "When are the exams scheduled in the 1.018J Ecology I course?"}
{"pair_id": "d1_s0115_N2_v1", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "How many exams does 1.018J Ecology I have in the first half of the term, and what resources come with each?"}
{"pair_id": "d1_s0115_N3_v2", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "How many quizzes does the 1.018J Ecology I course have, and what resources are provided for each?"}
{"pair_id": "d1_s0115_N4_v1", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "Which exam resources are missing for the 1.018J Ecology I exams?"}
{"pair_id": "d1_s0115_N5_v2", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "What is the last exam in 1.018J Ecology I, and what resources come with it?"}
{"pair_id": "d1_s0115_N5_v3", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "What resources are provided for the first exam in 1.018J Ecology I?"}
{"pair_id": "d1_s0115_N6_v1", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "Where can students download the study guides for the three exams in 1.018J Ecology I?"}
{"pair_id": "d1_s0115_P1_v3", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "For 1.018J Ecology I, how many exams are there and what supporting materials are given per exam?"}
{"pair_id": "d1_s0115_P1_v4", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "How many tests does 1.018J Ecology I include, and what resources are supplied for each test?"}
{"pair_id": "d1_s0115_P2_v2", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "Tell me the exam count for 1.018J Ecology I and the resources provided per exam."}
{"pair_id": "d1_s0115_P2_v3", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "I need to know how many exams 1.018J Ecology I gives and what comes with each of them."}
{"pair_id": "d1_s0115_P2_v4", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "In 1.018J Ecology I, exams number how many, and each is accompanied by what?"}
{"pair_id": "d1_s0115_P3_v3", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "how many exam does 1.018J ecology I have, n what matrials r provided each"}
{"pair_id": "d1_s0115_P3_v4", "cached_question": "How many exams does the 1.018J Ecology I course have, and what resources are provided for each?", "cached_answer": "The course has 3 exams; each exam has a study guide, a practice exam, practice exam solutions, and exam solutions.", "new_query": "yo whats the exam count for 1.018J ecology I and what u get w each exam"}
{"pair_id": "d1_s0116_N2_v2", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "What semesters and academic levels was the entire 1.018J ecology sequence taught at?"}
{"pair_id": "d1_s0116_N3_v2", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "What semester and academic level was 1.019 Ecology II taught at?"}
{"pair_id": "d1_s0116_N4_v1", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "What semester was 1.018J Ecology I: The Earth System not taught in?"}
{"pair_id": "d1_s0116_N4_v2", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "In what semester was 1.018J Ecology I: The Earth System taught at the graduate level?"}
{"pair_id": "d1_s0116_N5_v1", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "What was the earliest semester 1.018J Ecology I: The Earth System was taught in, and at what level?"}
{"pair_id": "d1_s0116_P1_v1", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "Which term and academic level was 1.018J Ecology I: The Earth System taught at?"}
{"pair_id": "d1_s0116_P1_v3", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "What term and student level was 1.018J Ecology I: The Earth System delivered at?"}
{"pair_id": "d1_s0116_P1_v4", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "Which semester and degree level did 1.018J Ecology I: The Earth System run at?"}
{"pair_id": "d1_s0116_P2_v2", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "Give me the semester and academic level for 1.018J Ecology I: The Earth System."}
{"pair_id": "d1_s0116_P2_v3", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "For 1.018J Ecology I: The Earth System, what were the teaching semester and the level?"}
{"pair_id": "d1_s0116_P2_v4", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "The semester and level of 1.018J Ecology I: The Earth System — could you state them?"}
{"pair_id": "d1_s0116_P3_v1", "cached_question": "What semester and academic level was 1.018J Ecology I: The Earth System taught at?", "cached_answer": "It was taught in Fall 2009 at the undergraduate level.", "new_query": "what semester n academic level was 1.018j ecology i the earth system taught at"}
