You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0598
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0628_P1_v2", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "What norm constraint does TransE enforce on the entity vectors h and t?"}
{"pair_id": "d2_s0629_N4_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How many neural models for encoding entity text descriptions does this paper rule out?"}
{"pair_id": "d2_s0629_N5_v3", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "What is special about the last of the neural models this paper introduces for encoding entity descriptions?"}
{"pair_id": "d2_s0629_N6_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "Why did this paper need more than one neural model to encode entity text descriptions?"}
{"pair_id": "d2_s0629_P1_v3", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How many neural architectures does this paper put forward to encode entity descriptions in text, and what is unusual about one of them?"}
{"pair_id": "d2_s0629_P2_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "Give me the count of neural models this paper introduces for encoding entity text descriptions, along with what sets one of them apart."}
{"pair_id": "d2_s0629_P3_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "how many neural models does this paper intro for encoding entity text descriptions n whats special abt one of them"}
{"pair_id": "d2_s0629_P3_v2", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "hw many nueral models r introduced in this paper for encoding entity text descriptions, and whats special about one?"}
{"pair_id": "d2_s0629_P3_v3", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "this paper introduces how many neural models 4 encoding entity text descriptions + the special thing abt one of em"}
{"pair_id": "d2_s0629_P3_v4", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "num of neural models in this paper for encoding entity txt descriptions?? and whats special w one of them"}
{"pair_id": "d2_s0634_N2_v1", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "How many characters are tweet hashtags restricted to according to this paper?"}
{"pair_id": "d2_s0634_N2_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "How many characters are social media posts in general restricted to in this paper?"}
{"pair_id": "d2_s0634_N3_v1", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "How many characters are Facebook posts restricted to according to this paper?"}
{"pair_id": "d2_s0634_N3_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "How many characters are SMS messages restricted to according to this paper?"}
{"pair_id": "d2_s0634_N5_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "At least how many characters must a tweet contain to be kept in this paper?"}
{"pair_id": "d2_s0634_N6_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "How does this paper handle tweets that hit the character limit?"}
{"pair_id": "d2_s0634_P1_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "How long can a tweet be, in characters, as stated in this paper?"}
{"pair_id": "d2_s0634_P1_v4", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "What character count are tweets limited to in this paper?"}
{"pair_id": "d2_s0634_P2_v1", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "Tweets are restricted to how many characters in this paper?"}
{"pair_id": "d2_s0634_P2_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "Tell me the number of characters this paper says tweets are limited to."}
{"pair_id": "d2_s0634_P2_v3", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "This paper states a character restriction for tweets — what is it?"}
{"pair_id": "d2_s0634_P2_v4", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "What does this paper give as the maximum character length of a tweet?"}
{"pair_id": "d2_s0634_P3_v1", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "how many chars are tweets restricted to acording to this paper?"}
{"pair_id": "d2_s0634_P3_v2", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "tweet char limit in this paper = ?"}
{"pair_id": "d2_s0634_P3_v3", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "how many caracters are tweets limted to in this papr"}
{"pair_id": "d2_s0634_P3_v4", "cached_question": "How many characters are tweets restricted to according to this paper?", "cached_answer": "140 characters.", "new_query": "TWEETS character restriction per this paper??"}
{"pair_id": "d2_s0635_N1_v1", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "How many tweets are in the dataset used in this study?"}
{"pair_id": "d2_s0635_N3_v1", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "What topic and time period does the blog post dataset used in this study cover?"}
{"pair_id": "d2_s0635_N4_v1", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "Which topics and time periods are excluded from the tweet dataset used in this study?"}
{"pair_id": "d2_s0635_N5_v1", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "What is the earliest date of a tweet in the dataset used in this study?"}
{"pair_id": "d2_s0635_N5_v2", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "What is the latest date covered by the tweet dataset used in this study?"}
{"pair_id": "d2_s0635_P1_v2", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "What is the theme and the collection period of the Twitter dataset used in this work?"}
{"pair_id": "d2_s0635_P1_v3", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "What subject matter and what date range do the tweets used in this study span?"}
{"pair_id": "d2_s0635_P1_v4", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "The tweet corpus in this study covers what topic and what period?"}
{"pair_id": "d2_s0635_P2_v1", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "Describe the topic and the time period covered by the tweet dataset used in this study."}
{"pair_id": "d2_s0635_P2_v3", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "For the tweet dataset in this study, tell me its topic and when it was collected."}
{"pair_id": "d2_s0635_P2_v4", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "Regarding the tweets used in this study, which topic and which time period do they cover?"}
{"pair_id": "d2_s0635_P3_v2", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "the twitter dataset in this study — what topic and when?"}
{"pair_id": "d2_s0635_P3_v3", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "whats the topik and time perod of the tweet dataset used in this stdy"}
{"pair_id": "d2_s0635_P3_v4", "cached_question": "What topic and time period does the tweet dataset used in this study cover?", "cached_answer": "It covers tweets about 'ObamaCare' in the USA, collected during March 2010.", "new_query": "tweet dataset used here covers what subject + which dates"}
