You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0644
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0169_P2_v1", "cached_question": "What DIRS setting is used to override templates from the project's templates directory in the example?", "cached_answer": "DIRS is set to [BASE_DIR / \"templates\"], with the override files placed at templates/blog/list.html and templates/blog/post.html.", "new_query": "Show me the DIRS setting the example uses for overriding templates from the project's templates directory."}
{"pair_id": "d3_s0169_P2_v4", "cached_question": "What DIRS setting is used to override templates from the project's templates directory in the example?", "cached_answer": "DIRS is set to [BASE_DIR / \"templates\"], with the override files placed at templates/blog/list.html and templates/blog/post.html.", "new_query": "Which DIRS entry has to be present for the example's project templates directory to override templates?"}
{"pair_id": "d3_s0169_P3_v2", "cached_question": "What DIRS setting is used to override templates from the project's templates directory in the example?", "cached_answer": "DIRS is set to [BASE_DIR / \"templates\"], with the override files placed at templates/blog/list.html and templates/blog/post.html.", "new_query": "in the example whats DIRS set to for overriding templates frm the project templates directory"}
{"pair_id": "d3_s0172_N2_v2", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "What are the basic steps for putting an entire Django project into production?"}
{"pair_id": "d3_s0173_N6_v2", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "When serving static files from the same server that runs the Django site, how often must the deployment process be repeated after static files change?"}
{"pair_id": "d3_s0173_P1_v2", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "What three stages make up deploying static files when the same machine that runs the Django application also serves them?"}
{"pair_id": "d3_s0173_P1_v3", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "If the same server that runs the Django site also serves the static assets, which three steps does deployment consist of?"}
{"pair_id": "d3_s0173_P2_v1", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "Walk me through the three deployment steps used when the Django site and its static files live on the same server."}
{"pair_id": "d3_s0173_P2_v2", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "The static files are served by the same server that runs my Django site — list the three steps the deployment process involves."}
{"pair_id": "d3_s0173_P3_v1", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "django static files same server deploy — wat r the 3 steps?"}
{"pair_id": "d3_s0173_P3_v3", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "serving staticfiles on the same srv as django, the deployment is 3 steps rite? which ones"}
{"pair_id": "d3_s0173_P3_v4", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "3 steps to deploy django static files off the same server?? cant remember them"}
{"pair_id": "d3_s0174_N4_v1", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "Which web servers are not recommended for serving static files from a dedicated server?"}
{"pair_id": "d3_s0174_P1_v2", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "What two servers are named as common options for hosting static files on a separate machine?"}
{"pair_id": "d3_s0174_P1_v3", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "As examples for serving static files from a dedicated server, which two web servers are cited?"}
{"pair_id": "d3_s0174_P1_v4", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "Which pair of web servers is suggested as the usual choice for a dedicated static-file server?"}
{"pair_id": "d3_s0174_P2_v2", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "For serving static files from a dedicated server, two web servers are mentioned — which ones?"}
{"pair_id": "d3_s0174_P2_v3", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "I want the two web-server examples suggested for a dedicated static-file server."}
{"pair_id": "d3_s0174_P2_v4", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "Two common web servers are listed for dedicated static-file serving; what are they?"}
{"pair_id": "d3_s0174_P3_v1", "cached_question": "What two example web servers are mentioned as common choices for serving static files from a dedicated server?", "cached_answer": "Nginx and a stripped-down version of Apache.", "new_query": "wat 2 example web servers r mentioned for serving static files from a dedicated server?"}
{"pair_id": "d3_s0175_N2_v2", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "Why does rsync's --delete option matter when pushing static files to a dedicated static file server?"}
{"pair_id": "d3_s0175_N4_v1", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "Why is rsync a poor choice for pushing static files to a dedicated static file server?"}
{"pair_id": "d3_s0175_P1_v2", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "What makes rsync a popular option for sending static files to a separate static file server?"}
{"pair_id": "d3_s0175_P1_v4", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "Why is rsync frequently used when deploying static files to a standalone static file server?"}
{"pair_id": "d3_s0175_P2_v4", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "Tell me why a dedicated static file server is usually fed its static files with rsync."}
{"pair_id": "d3_s0175_P3_v2", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "why do ppl use rsync to push static files to a dedicated static file srv?"}
{"pair_id": "d3_s0175_P3_v4", "cached_question": "Why is rsync a common choice for pushing static files to a dedicated static file server?", "cached_answer": "Because rsync only needs to transfer the parts of static files that have changed.", "new_query": "whats the reason rsync is commonly used 4 pushing staticfiles to a seperate static file server"}
{"pair_id": "d3_s0185_N3_v1", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Why can't you keep using an old version of Python indefinitely, according to the upgrade guide?"}
{"pair_id": "d3_s0185_N3_v2", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Why can't you keep using an old version of Django indefinitely, according to the deprecation policy?"}
{"pair_id": "d3_s0185_N6_v2", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Given that you can't stay on an old Django version indefinitely, how many versions may you skip in a single upgrade?"}
{"pair_id": "d3_s0185_P1_v1", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Per the upgrade guide, why is staying on an old Django version forever not an option?"}
{"pair_id": "d3_s0185_P1_v3", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Why does the upgrade guide say running an old Django version forever isn't viable?"}
{"pair_id": "d3_s0185_P2_v1", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Explain the upgrade guide's reasoning for not staying on an old Django version indefinitely."}
{"pair_id": "d3_s0185_P2_v2", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "Staying on an old Django version indefinitely is discouraged by the upgrade guide for what reason?"}
{"pair_id": "d3_s0185_P2_v3", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "I'd like the upgrade guide's justification for why an old Django version can't be used forever."}
{"pair_id": "d3_s0185_P2_v4", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "What reason is given in the upgrade guide against using an old Django version indefinitely?"}
{"pair_id": "d3_s0185_P3_v2", "cached_question": "Why can't you keep using an old version of Django indefinitely, according to the upgrade guide?", "cached_answer": "Older versions of Django eventually stop receiving security updates.", "new_query": "upgrade guide — why cant i stay on an old django verson indefinitly??"}
{"pair_id": "d3_s0186_N1_v1", "cached_question": "What's the recommended approach for upgrading Django across multiple feature versions, e.g. from 2.0 to 2.2?", "cached_answer": "Upgrade incrementally through each feature release (2.0 to 2.1 to 2.2) rather than all at once, using the latest patch release for each version, e.g. 2.1.15 for the 2.1 release.", "new_query": "What should you do about deprecation warnings when upgrading Django from 2.0 to 2.2?"}
{"pair_id": "d3_s0186_N2_v1", "cached_question": "What's the recommended approach for upgrading Django across multiple feature versions, e.g. from 2.0 to 2.2?", "cached_answer": "Upgrade incrementally through each feature release (2.0 to 2.1 to 2.2) rather than all at once, using the latest patch release for each version, e.g. 2.1.15 for the 2.1 release.", "new_query": "What's the recommended approach for upgrading Django just one feature version, from 2.1 to 2.2?"}
