You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0592
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0573_N6_v1", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "Why do PubMed users click on related articles after running a search?"}
{"pair_id": "d2_s0580_N1_v2", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "What accuracy gains did the copy mechanism proposed in the paper produce?"}
{"pair_id": "d2_s0580_P1_v1", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "What is the copy mechanism introduced in the paper meant to accomplish?"}
{"pair_id": "d2_s0580_P1_v4", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "What is the goal behind the copy mechanism the paper puts forward?"}
{"pair_id": "d2_s0580_P2_v1", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "Explain the purpose of the copy mechanism that the paper proposes."}
{"pair_id": "d2_s0580_P2_v3", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "For what purpose was the copy mechanism in this paper designed?"}
{"pair_id": "d2_s0580_P2_v4", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "I'd like to understand what the copy mechanism in this paper is intended to do."}
{"pair_id": "d2_s0580_P3_v2", "cached_question": "What is the purpose of the copy mechanism proposed in the paper?", "cached_answer": "It lets the model use very small decoder vocabularies while still handling out-of-vocabulary words, by copying words from the input sequence.", "new_query": "purpose of the copy mechanisim in the paper??"}
{"pair_id": "d2_s0584_N1_v1", "cached_question": "What macro-average f-score does UTCNN achieve on the Facebook stance classification task?", "cached_answer": "UTCNN achieves a 0.755 macro-average f-score across supportive, neutral, and unsupportive stance classes on Facebook data.", "new_query": "What architecture does UTCNN use for the Facebook stance classification task?"}
{"pair_id": "d2_s0584_N1_v2", "cached_question": "What macro-average f-score does UTCNN achieve on the Facebook stance classification task?", "cached_answer": "UTCNN achieves a 0.755 macro-average f-score across supportive, neutral, and unsupportive stance classes on Facebook data.", "new_query": "How many Facebook posts are in the stance classification dataset used for UTCNN?"}
{"pair_id": "d2_s0584_N2_v1", "cached_question": "What macro-average f-score does UTCNN achieve on the Facebook stance classification task?", "cached_answer": "UTCNN achieves a 0.755 macro-average f-score across supportive, neutral, and unsupportive stance classes on Facebook data.", "new_query": "What f-score does UTCNN achieve on the supportive stance class alone on Facebook?"}
{"pair_id": "d2_s0584_N3_v1", "cached_question": "What macro-average f-score does UTCNN achieve on the Facebook stance classification task?", "cached_answer": "UTCNN achieves a 0.755 macro-average f-score across supportive, neutral, and unsupportive stance classes on Facebook data.", "new_query": "What macro-average f-score does UTCNN achieve on the CreateDebate stance classification task?"}
