You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0709
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0788_N5_v3", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "What is the minimum number of times the alert fires with <button onClick={alert('You clicked me!')}> in JSX?"}
{"pair_id": "d3_s0793_P1_v1", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "What was the reason the article pulled the useOnlineStatus Hook out of StatusBar and SaveButton?"}
{"pair_id": "d3_s0793_P1_v2", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "Why did the article move the online-status logic into a useOnlineStatus custom Hook instead of leaving it in StatusBar and SaveButton?"}
{"pair_id": "d3_s0793_P1_v3", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "For what reason was useOnlineStatus factored out of the StatusBar and SaveButton components in the article?"}
{"pair_id": "d3_s0793_P1_v4", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "What motivated extracting the custom Hook useOnlineStatus from StatusBar and SaveButton?"}
{"pair_id": "d3_s0793_P2_v1", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "Explain the article's reason for extracting useOnlineStatus from StatusBar and SaveButton."}
{"pair_id": "d3_s0793_P2_v2", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "The article extracted useOnlineStatus from StatusBar and SaveButton — why?"}
{"pair_id": "d3_s0793_P2_v3", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "In the article, what problem in StatusBar and SaveButton led to useOnlineStatus being extracted?"}
{"pair_id": "d3_s0793_P2_v4", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "What justification does the article give for taking useOnlineStatus out of StatusBar and SaveButton?"}
{"pair_id": "d3_s0793_P3_v1", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "why did the article extract the useOnlineStatus hook out of StatusBar n SaveButton?"}
{"pair_id": "d3_s0793_P3_v3", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "reason 4 pulling useOnlineStatus custom hook out of StatusBar and SaveButton?"}
{"pair_id": "d3_s0793_P3_v4", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "why'd they extrct useOnlineStatus hook frm StatusBar/SaveButton components"}
{"pair_id": "d3_s0794_N3_v2", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "What naming rule must all built-in Hooks follow according to this guide?"}
{"pair_id": "d3_s0794_N5_v4", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "Other than starting with 'use', what naming rules must all custom Hooks follow?"}
{"pair_id": "d3_s0794_P1_v1", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "What naming convention does this guide say every custom Hook has to follow?"}
{"pair_id": "d3_s0794_P1_v2", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "According to this guide, what rule governs the names of custom Hooks?"}
{"pair_id": "d3_s0794_P1_v4", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "What does this guide require when you name a custom Hook?"}
{"pair_id": "d3_s0794_P2_v2", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "Tell me the naming rule every custom Hook must obey per this guide."}
{"pair_id": "d3_s0794_P3_v1", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "wat naming rule must all custom hooks follow acc to this guide"}
{"pair_id": "d3_s0794_P3_v2", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "custom hooks naming rule in this guide??"}
{"pair_id": "d3_s0794_P3_v4", "cached_question": "What naming rule must all custom Hooks follow according to this guide?", "cached_answer": "Custom Hook names must always start with 'use'.", "new_query": "CUSTOM HOOKS - naming rule from this guide, wat is it"}
{"pair_id": "d3_s0797_N2_v1", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "How do you add a ref to a DOM node in a React component and what does it hold?"}
{"pair_id": "d3_s0797_N3_v2", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "How do you add a ref to a React component and what does createRef return?"}
{"pair_id": "d3_s0797_N4_v3", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "How do you add a ref to a React component without using useRef?"}
{"pair_id": "d3_s0797_P1_v2", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "What are the steps to add a ref to a component, and what does the useRef Hook return?"}
{"pair_id": "d3_s0797_P1_v3", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "How is a ref set up in a React component, and what comes out of calling useRef?"}
{"pair_id": "d3_s0797_P1_v4", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "How do you create a ref in a component and what does calling useRef produce?"}
{"pair_id": "d3_s0797_P2_v2", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "I want to add a ref to my component — what's the call, and what do I get back from useRef?"}
{"pair_id": "d3_s0797_P2_v3", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "useRef returns what, and how do you add a ref to a component in the first place?"}
{"pair_id": "d3_s0797_P2_v4", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "Explain the way a ref is added to a React component, together with useRef's return value."}
{"pair_id": "d3_s0797_P3_v1", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "how do u add a ref to a react component n what does useRef return??"}
{"pair_id": "d3_s0797_P3_v2", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "adding ref in react component - how, and wat useref returns"}
{"pair_id": "d3_s0797_P3_v4", "cached_question": "How do you add a ref to a React component and what does useRef return?", "cached_answer": "Import useRef from React and call it with an initial value, e.g. const ref = useRef(0). It returns an object like { current: 0 } holding the value you passed in.", "new_query": "react ref: how do i add one, and useref gives back what"}
