You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0628
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0051_P3_v1", "cached_question": "What API should be used instead of ReactDOM.render in React 18?", "cached_answer": "createRoot should be used instead — ReactDOM.render is no longer supported in React 18.", "new_query": "what api shud i use instead of ReactDOM.render in react 18?"}
{"pair_id": "d3_s0053_N2_v2", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Which static-markup server rendering API is deprecated in React 18, and what replaces it?"}
{"pair_id": "d3_s0053_N3_v1", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Which server rendering API is deprecated in React 17, and what should be used instead for streaming in Node environments?"}
{"pair_id": "d3_s0053_N3_v2", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Deno environments?"}
{"pair_id": "d3_s0053_N4_v2", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Which server rendering API was actually removed, not merely deprecated, in React 18?"}
{"pair_id": "d3_s0053_N4_v4", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Which server rendering API is deprecated in React 18 with no streaming replacement offered?"}
{"pair_id": "d3_s0053_P1_v2", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "What server rendering method is deprecated in React 18, and which one should you use for Node streaming instead?"}
{"pair_id": "d3_s0053_P1_v3", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "In React 18, which SSR API is marked as deprecated, and what is the recommended streaming API for Node environments?"}
{"pair_id": "d3_s0053_P2_v1", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Name the server rendering API deprecated in React 18 and its replacement for streaming in Node."}
{"pair_id": "d3_s0053_P2_v2", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "React 18 deprecates one server rendering API — which one, and what should Node streaming use instead?"}
{"pair_id": "d3_s0053_P2_v3", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "I need to know which SSR API was deprecated in React 18 and what to switch to for streaming under Node."}
{"pair_id": "d3_s0053_P2_v4", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "For streaming in Node, what should replace the server rendering API that React 18 deprecated?"}
{"pair_id": "d3_s0053_P3_v1", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "which server rendering api is deprecated in react 18 and what shud i use for streaming in node?"}
{"pair_id": "d3_s0053_P3_v4", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "deprecated ssr api in react 18 + what to use for node streaming instead??"}
{"pair_id": "d3_s0056_N1_v1", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "What new features does the React v18.0 release blog post announce?"}
{"pair_id": "d3_s0056_N2_v1", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "When were both the React v18.0 release blog post and the React 18 upgrade guide published, and who authored them?"}
{"pair_id": "d3_s0056_N3_v1", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "When was the React v17.0 release blog post published and who authored it?"}
{"pair_id": "d3_s0056_N5_v1", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "When was the earliest React 18 blog post published and who authored it?"}
{"pair_id": "d3_s0056_N5_v2", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "When was the most recent React release blog post published and who authored it?"}
{"pair_id": "d3_s0056_P1_v2", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "On what date did the React v18.0 release announcement go up, and who is its author?"}
{"pair_id": "d3_s0056_P1_v3", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "When did the React v18.0 release post come out, and who put it together?"}
{"pair_id": "d3_s0056_P2_v1", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "Tell me the date and the author of the React v18.0 release blog post."}
{"pair_id": "d3_s0056_P2_v3", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "I need the publish date and the byline for the React v18.0 release blog post."}
{"pair_id": "d3_s0056_P3_v1", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "when was the react v18.0 release blog post published and who wrote it"}
{"pair_id": "d3_s0056_P3_v3", "cached_question": "When was the React v18.0 release blog post published and who authored it?", "cached_answer": "It was published on March 29, 2022 by The React Team.", "new_query": "react v18.0 release blog post - date + author? thx"}
{"pair_id": "d3_s0057_N1_v1", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What breaking changes does React 18 introduce?"}
{"pair_id": "d3_s0057_N2_v1", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What are three out-of-the-box improvements included in React 18's server rendering?"}
{"pair_id": "d3_s0057_N2_v2", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What are three out-of-the-box improvements included across the wider React 18 ecosystem libraries?"}
{"pair_id": "d3_s0057_N3_v1", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What are three out-of-the-box improvements included in React 17?"}
{"pair_id": "d3_s0057_N4_v1", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What are three React 18 improvements that require opting in rather than working out of the box?"}
{"pair_id": "d3_s0057_N4_v4", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What are three out-of-the-box improvements that were excluded from React 18?"}
{"pair_id": "d3_s0057_N5_v2", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What is the single biggest out-of-the-box improvement in React 18?"}
{"pair_id": "d3_s0057_N5_v3", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What is the least impactful out-of-the-box improvement included in React 18?"}
{"pair_id": "d3_s0057_N6_v2", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What do I have to change in my code to benefit from React 18's out-of-the-box improvements?"}
{"pair_id": "d3_s0057_P1_v2", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "Name three built-in improvements that ship with React 18."}
{"pair_id": "d3_s0057_P1_v3", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "What are three ready-to-use enhancements included in React 18?"}
{"pair_id": "d3_s0057_P1_v4", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "React 18 comes with three improvements by default — what are they?"}
{"pair_id": "d3_s0057_P2_v1", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "Tell me about three of the improvements React 18 includes out of the box."}
{"pair_id": "d3_s0057_P2_v3", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "I'd like a list of three improvements that come included out of the box in React 18."}
{"pair_id": "d3_s0057_P3_v1", "cached_question": "What are three out-of-the-box improvements included in React 18?", "cached_answer": "React 18 includes automatic batching, the new startTransition API, and streaming server-side rendering with Suspense support.", "new_query": "what r the 3 out of the box improvements in react 18?"}
