You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0809
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d4_s0780_P3_v1", "cached_question": "What proportion of people with alopecia universalis have a family member with alopecia?", "cached_answer": "Roughly 20% of affected people have a family member with alopecia, which suggests genetic factors may contribute to the condition.", "new_query": "wat % of ppl w alopecia universalis have a family member w alopecia"}
{"pair_id": "d4_s0785_N1_v1", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "What causes Alport syndrome?"}
{"pair_id": "d4_s0785_N2_v1", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "What treatments are used for the hearing loss in Alport syndrome?"}
{"pair_id": "d4_s0785_N2_v2", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "What treatments are used to manage Alport syndrome in children?"}
{"pair_id": "d4_s0785_N4_v1", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "Which treatments should be avoided in Alport syndrome?"}
{"pair_id": "d4_s0785_N4_v2", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "Which medications are contraindicated in Alport syndrome?"}
{"pair_id": "d4_s0785_N5_v1", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "What is the last-resort treatment for Alport syndrome?"}
{"pair_id": "d4_s0785_N5_v3", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "What is the most common treatment for Alport syndrome?"}
{"pair_id": "d4_s0785_P1_v2", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "How is Alport syndrome managed medically?"}
{"pair_id": "d4_s0785_P1_v3", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "Which interventions help manage Alport syndrome?"}
{"pair_id": "d4_s0785_P2_v1", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "Please list the treatments used for managing Alport syndrome."}
{"pair_id": "d4_s0785_P2_v3", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "I'd like to know what is done to treat Alport syndrome."}
{"pair_id": "d4_s0785_P2_v4", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "For a patient with Alport syndrome, what would the management approach be?"}
{"pair_id": "d4_s0785_P3_v1", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "wat treatments r used for alport syndrome?"}
{"pair_id": "d4_s0785_P3_v2", "cached_question": "What treatments are used to manage Alport syndrome?", "cached_answer": "Treatment may include a hearing aid, hemodialysis or peritoneal dialysis for end-stage renal failure, and kidney transplantation.", "new_query": "alport syndrome treatment options??"}
{"pair_id": "d4_s0786_N3_v1", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "Why do males with a COL4A3 mutation tend to have more severe Alport syndrome than females?"}
{"pair_id": "d4_s0786_N4_v2", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "Why do some males with a COL4A5 mutation have milder Alport syndrome than expected?"}
{"pair_id": "d4_s0786_P1_v2", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "What makes COL4A5-related Alport syndrome worse in men compared with women?"}
{"pair_id": "d4_s0786_P1_v4", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "For what reason is Alport syndrome caused by COL4A5 more severe in male patients than female patients?"}
{"pair_id": "d4_s0786_P2_v2", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "More severe Alport syndrome in males with COL4A5 mutations is explained by what?"}
{"pair_id": "d4_s0786_P2_v3", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "I'd like an explanation of the sex difference in severity of COL4A5-related Alport syndrome."}
{"pair_id": "d4_s0786_P2_v4", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "In COL4A5-related Alport syndrome, what accounts for the greater severity seen in males?"}
{"pair_id": "d4_s0786_P3_v1", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "why do males w COL4A5 mutation have worse alport than females"}
{"pair_id": "d4_s0786_P3_v2", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "col4a5 alport — why more severe in guys than girls??"}
{"pair_id": "d4_s0786_P3_v3", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "why is alport syndrom more severe in males with col4a5 mutatin"}
{"pair_id": "d4_s0786_P3_v4", "cached_question": "Why do males with a COL4A5 mutation tend to have more severe Alport syndrome symptoms than females?", "cached_answer": "In males, who have only one X chromosome, a single altered copy of COL4A5 is enough to cause kidney failure and other severe symptoms. In females, who have two X chromosomes, a mutation in only one copy usually causes just hematuria, though some women have more severe symptoms.", "new_query": "males vs females col4a5 alport severity, why the diff"}
{"pair_id": "d4_s0791_N3_v2", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "What gene mutations cause alpha-1 antichymotrypsin deficiency, and how is it inherited?"}
{"pair_id": "d4_s0791_N5_v1", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "Which SERPINA1 mutation is the most common cause of alpha-1 antitrypsin deficiency?"}
{"pair_id": "d4_s0791_P1_v1", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "Which gene is mutated in alpha-1 antitrypsin deficiency, and what is its inheritance pattern?"}
{"pair_id": "d4_s0791_P1_v2", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "What genetic defect leads to alpha-1 antitrypsin deficiency, and how is it passed on?"}
{"pair_id": "d4_s0791_P1_v3", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "Alpha-1 antitrypsin deficiency arises from mutations in which gene, and follows what mode of inheritance?"}
{"pair_id": "d4_s0791_P1_v4", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "What mutations underlie alpha-1 antitrypsin deficiency, and what inheritance pattern does the condition show?"}
{"pair_id": "d4_s0791_P2_v1", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "Name the gene mutated in alpha-1 antitrypsin deficiency and describe how it is inherited."}
{"pair_id": "d4_s0791_P3_v1", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "alpha 1 antitrypsin deficiency - which gene n how inherited?"}
{"pair_id": "d4_s0791_P3_v2", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "wat gene mutation causes alpha1 antitrypsin defiency and hows it inheritd"}
{"pair_id": "d4_s0791_P3_v4", "cached_question": "What gene mutations cause Alpha-1 antitrypsin deficiency and how is it inherited?", "cached_answer": "Alpha-1 antitrypsin deficiency is caused by mutations in the SERPINA1 gene and is inherited in a codominant manner.", "new_query": "alpha-1 antitrypsin defic. wich gene mutatons, inherited how"}
{"pair_id": "d4_s0792_N2_v1", "cached_question": "What percentage of people with Alpha-1 antitrypsin deficiency experience emphysema and hepatic failure?", "cached_answer": "Both emphysema and hepatic failure occur in approximately 90% of people with Alpha-1 antitrypsin deficiency.", "new_query": "What percentage of smokers with Alpha-1 antitrypsin deficiency experience emphysema and hepatic failure?"}
{"pair_id": "d4_s0792_N2_v2", "cached_question": "What percentage of people with Alpha-1 antitrypsin deficiency experience emphysema and hepatic failure?", "cached_answer": "Both emphysema and hepatic failure occur in approximately 90% of people with Alpha-1 antitrypsin deficiency.", "new_query": "What percentage of newborns with Alpha-1 antitrypsin deficiency experience emphysema and hepatic failure?"}
{"pair_id": "d4_s0792_N3_v2", "cached_question": "What percentage of people with Alpha-1 antitrypsin deficiency experience emphysema and hepatic failure?", "cached_answer": "Both emphysema and hepatic failure occur in approximately 90% of people with Alpha-1 antitrypsin deficiency.", "new_query": "What percentage of people with Alpha-1 antitrypsin deficiency experience bronchiectasis and hepatic failure?"}
{"pair_id": "d4_s0792_N4_v1", "cached_question": "What percentage of people with Alpha-1 antitrypsin deficiency experience emphysema and hepatic failure?", "cached_answer": "Both emphysema and hepatic failure occur in approximately 90% of people with Alpha-1 antitrypsin deficiency.", "new_query": "What percentage of people with Alpha-1 antitrypsin deficiency never develop emphysema or hepatic failure?"}
