You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0770
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d4_s0440_N5_v1", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "Which of the three pairs of major salivary glands is the largest?"}
{"pair_id": "d4_s0441_P2_v3", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "Tell me about the largest salivary gland: its name, its location, and whether most major salivary gland tumors start there."}
{"pair_id": "d4_s0441_P2_v4", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "Among the salivary glands, which one takes the top spot for size, sits where, and hosts the start of most major salivary gland tumors?"}
{"pair_id": "d4_s0441_P3_v3", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "whch salivry gland is the largst, wher is it locatd, n where do most tumors of major salivary glands begin"}
{"pair_id": "d4_s0442_N3_v1", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "What proportion of thyroid gland tumors are benign?"}
{"pair_id": "d4_s0442_N3_v2", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "What proportion of lacrimal gland tumors are benign?"}
{"pair_id": "d4_s0442_N4_v1", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "What proportion of salivary gland tumors are malignant?"}
{"pair_id": "d4_s0442_N5_v2", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "Are all salivary gland tumors benign, without exception?"}
{"pair_id": "d4_s0442_P1_v1", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "What share of salivary gland tumors are noncancerous?"}
{"pair_id": "d4_s0442_P1_v3", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "Of salivary gland tumors, what portion are not malignant?"}
{"pair_id": "d4_s0442_P2_v1", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "Tell me the proportion of salivary gland tumors that are benign."}
{"pair_id": "d4_s0442_P2_v2", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "Benign tumors account for what proportion of all salivary gland tumors?"}
{"pair_id": "d4_s0442_P2_v3", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "I would like to know what percentage of salivary gland tumors end up being benign."}
{"pair_id": "d4_s0442_P2_v4", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "Among salivary gland tumors, how commonly is the tumor a benign one?"}
{"pair_id": "d4_s0442_P3_v1", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "wat proportion of salivary gland tumors r benign"}
{"pair_id": "d4_s0442_P3_v3", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "how much of salivry gland tumours are benign??"}
{"pair_id": "d4_s0442_P3_v4", "cached_question": "What proportion of salivary gland tumors are benign?", "cached_answer": "More than half of all salivary gland tumors are benign (not cancerous) and do not spread to other tissues.", "new_query": "proportion of benign salivary gland tumors, anyone know"}
{"pair_id": "d4_s0446_N1_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "Why does smoking raise the risk of oral cavity and oropharyngeal cancer?"}
{"pair_id": "d4_s0446_N2_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "How much higher is the risk of oropharyngeal cancer alone for current smokers compared to people who never smoked?"}
{"pair_id": "d4_s0446_N3_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "How much higher is the risk of laryngeal cancer for current smokers compared to people who never smoked?"}
{"pair_id": "d4_s0446_N4_v4", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "How much higher is the risk of oral cavity and oropharyngeal cancer for non-smokers than for smokers?"}
{"pair_id": "d4_s0446_N6_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "How much does the risk of oral cavity and oropharyngeal cancer fall after a current smoker quits?"}
{"pair_id": "d4_s0446_N6_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "Besides smoking, what else raises the risk of oral cavity and oropharyngeal cancer?"}
{"pair_id": "d4_s0446_P2_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "Tell me the size of the risk increase for oral cavity and oropharyngeal cancer in current smokers versus never-smokers."}
{"pair_id": "d4_s0446_P2_v3", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "For current smokers, by what factor is the risk of oral cavity and oropharyngeal cancer elevated over never-smokers?"}
{"pair_id": "d4_s0446_P3_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "how much higher is the risk of oral cavity n oropharyngeal cancer for current smokers vs ppl who never smoked"}
{"pair_id": "d4_s0446_P3_v3", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "current smokers - how many times higher risk of oral cavity/oropharyngeal cancer than never smokers? thx"}
{"pair_id": "d4_s0446_P3_v4", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for current smokers compared to people who never smoked?", "cached_answer": "The risk is about 5 to 10 times higher for current smokers than for people who have never smoked.", "new_query": "how mch higher is risk of oral cavity and oropharyngeal cancr for currnt smokers vs never smokers"}
{"pair_id": "d4_s0447_N2_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "How much higher is the risk of all head and neck cancers for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?"}
{"pair_id": "d4_s0447_N3_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "How much higher is the risk of laryngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?"}
{"pair_id": "d4_s0447_N3_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who chews tobacco compared to someone who does not?"}
{"pair_id": "d4_s0447_N5_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "What is the maximum increase in oral cavity and oropharyngeal cancer risk reported for drinkers compared with non-drinkers?"}
{"pair_id": "d4_s0447_N6_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "How much does the raised oral cancer risk from 5 or more daily drinks grow if the person also smokes?"}
{"pair_id": "d4_s0447_P1_v3", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "What is the increase in oral cavity and oropharyngeal cancer risk for someone drinking 5 or more alcoholic beverages per day relative to someone who abstains?"}
{"pair_id": "d4_s0447_P2_v2", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "Tell me the size of the gap in oral cavity and oropharyngeal cancer risk between a non-drinker and someone having 5 or more alcoholic drinks per day."}
{"pair_id": "d4_s0447_P2_v3", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "For 5 or more alcoholic drinks per day versus no alcohol at all, what is the difference in oral cavity and oropharyngeal cancer risk?"}
{"pair_id": "d4_s0447_P2_v4", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "I'd like to know by what factor oral cavity and oropharyngeal cancer risk rises with 5 or more alcoholic drinks a day compared to not drinking."}
{"pair_id": "d4_s0447_P3_v1", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "how much higher is the risk of oral cavity n oropharyngeal cancer if u have 5+ drinks a day vs a non drinker?"}
{"pair_id": "d4_s0447_P3_v3", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "hw much highr is risk of oral cavty and oropharyngeal cancr for smone havng 5 or more alcholic drinks per day compard to a non drinker"}
{"pair_id": "d4_s0447_P3_v4", "cached_question": "How much higher is the risk of oral cavity and oropharyngeal cancer for someone who has 5 or more alcoholic drinks per day compared to a non-drinker?", "cached_answer": "The risk is about 5 times higher for people who have 5 or more alcoholic drinks per day compared with those who don't drink alcohol.", "new_query": "oral cavity/oropharyngeal cancer risk - 5+ drinks daily vs no drinking, how much higher?"}
