You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0639
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0131_P2_v2", "cached_question": "What two methods does Django support for providing initial data to prepopulate a database?", "cached_answer": "Django supports providing initial data via data migrations or via fixtures.", "new_query": "For prepopulating a database in Django, which two methods are supported?"}
{"pair_id": "d3_s0132_P1_v4", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "What command should I use to most easily dump data I already have in the database into a fixture?"}
{"pair_id": "d3_s0132_P2_v3", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "I already have data in my database — what management command most easily turns it into a fixture?"}
{"pair_id": "d3_s0132_P3_v2", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "django - easiest mgmt command to make a fixture out of existing database data??"}
{"pair_id": "d3_s0132_P3_v3", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "i have data in the db already, whats the easiest manage.py cmd to make a fixture"}
{"pair_id": "d3_s0133_N2_v1", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "In which file formats can Django fixtures be written without installing any extra package?"}
{"pair_id": "d3_s0133_N5_v4", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "Which fixture format did Django support earliest?"}
{"pair_id": "d3_s0133_P1_v2", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "Which formats can I use to author fixture files in Django?"}
{"pair_id": "d3_s0133_P1_v4", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "What are the supported serialization formats for Django fixture files?"}
{"pair_id": "d3_s0133_P2_v1", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "List the file formats Django fixtures can be written in."}
{"pair_id": "d3_s0133_P2_v2", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "I want to write a fixture for Django — which formats does it accept?"}
{"pair_id": "d3_s0133_P2_v3", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "Fixtures in Django are written using which formats?"}
{"pair_id": "d3_s0133_P2_v4", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "Tell me the formats a Django fixture file can take."}
{"pair_id": "d3_s0133_P3_v2", "cached_question": "In which file formats can Django fixtures be written?", "cached_answer": "Fixtures can be written as JSON, XML, or YAML documents; YAML support requires PyYAML to be installed.", "new_query": "django fixtures — wat formats can i use??"}
{"pair_id": "d3_s0134_N4_v3", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "Which directories does Django exclude when searching for fixture files?"}
{"pair_id": "d3_s0134_N5_v2", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "Which app's fixtures directory does Django check last?"}
{"pair_id": "d3_s0134_P1_v1", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "By default, in which location does Django search for fixtures?"}
{"pair_id": "d3_s0134_P1_v2", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "What's the default directory Django checks for fixture files?"}
{"pair_id": "d3_s0134_P1_v3", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "Where are fixture files expected to live by default in Django?"}
{"pair_id": "d3_s0134_P1_v4", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "Which path does Django use by default when looking for fixtures?"}
{"pair_id": "d3_s0134_P2_v1", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "Tell me the default location Django searches for fixture files."}
{"pair_id": "d3_s0134_P2_v2", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "Fixture files are looked for by Django in which default directory?"}
{"pair_id": "d3_s0134_P2_v3", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "When I run loaddata, where does Django look for the fixture by default?"}
{"pair_id": "d3_s0134_P2_v4", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "The default fixture search location in Django is where?"}
{"pair_id": "d3_s0134_P3_v4", "cached_question": "Where does Django look for fixture files by default?", "cached_answer": "By default, Django looks in a directory named fixtures inside each app, e.g. `my_app/fixtures/sample.json` for `loaddata sample`.", "new_query": "where duz django search for fixture files by default, anyone know"}
{"pair_id": "d3_s0138_N3_v1", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "Why shouldn't you put Django logging calls directly in manage.py?"}
{"pair_id": "d3_s0138_N3_v2", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "Why shouldn't you put Django database queries directly in settings.py?"}
{"pair_id": "d3_s0138_N4_v1", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "When is it acceptable to put logging calls directly in Django's settings.py?"}
{"pair_id": "d3_s0138_P1_v4", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "Why are direct logging calls in Django's settings.py discouraged?"}
{"pair_id": "d3_s0138_P2_v3", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "I want to log from settings.py in Django — why is that not recommended?"}
{"pair_id": "d3_s0138_P2_v4", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "What makes direct logging calls in Django's settings.py a problem?"}
{"pair_id": "d3_s0138_P3_v2", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "django - logging calls in settings.py, why is that bad??"}
{"pair_id": "d3_s0138_P3_v3", "cached_question": "Why shouldn't you put Django logging calls directly in settings.py?", "cached_answer": "Because Django's logging is configured as part of the setup() function, so at the point settings.py runs, logging has not been set up yet and the calls may not work as expected.", "new_query": "why cant i put loging calls directly in settings py in django"}
{"pair_id": "d3_s0139_N1_v1", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "Where in a Django module should the logger instance be defined?"}
{"pair_id": "d3_s0139_N3_v1", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "What's the recommended way to obtain a logging handler in Django code, and how is it configured?"}
{"pair_id": "d3_s0139_P1_v2", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "How should you create a logger in Django code, and which name argument is advised?"}
{"pair_id": "d3_s0139_P1_v3", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "What's the advised approach for getting hold of a logger in Django code, and what should its name be?"}
{"pair_id": "d3_s0139_P1_v4", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "Which call should you use to get a logger inside Django code, and what should be passed as its name?"}
{"pair_id": "d3_s0139_P2_v2", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "Tell me the recommended way to get a logger in Django code and the name it should be given."}
{"pair_id": "d3_s0139_P2_v3", "cached_question": "What's the recommended way to obtain a logger instance in Django code, and what name should be passed to it?", "cached_answer": "Call logging.getLogger(__name__), passing __name__ so the logger is named after the current Python module's dotted path.", "new_query": "I want a logger in my Django code; what call is recommended and what name should I pass to it?"}
