You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0594
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0591_P2_v2", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "Across the benchmarks tested, what was observed once character-level extensions were added?"}
{"pair_id": "d2_s0596_P1_v4", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "What are the two building blocks of a QRNN layer, and how do they run computation in parallel?"}
{"pair_id": "d2_s0596_P2_v4", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "Tell me which two subcomponent types build a QRNN layer, along with their parallelization strategy."}
{"pair_id": "d2_s0596_P3_v2", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "qrnn layer = which 2 subcomponents, and how do they parallelize compute"}
{"pair_id": "d2_s0596_P3_v3", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "two subcomponent types in a QRNN layr + how they parallelise computaion??"}
{"pair_id": "d2_s0596_P3_v4", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "QRNN LAYER subcomponents (2 types) and how they run in parallel"}
{"pair_id": "d2_s0597_N1_v1", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How much memory do stacked QRNNs use compared to stacked LSTMs of the same hidden size?"}
{"pair_id": "d2_s0597_N2_v1", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How do single-layer QRNNs compare to single-layer LSTMs of the same hidden size in accuracy and speed?"}
{"pair_id": "d2_s0597_N2_v2", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed on character-level language modeling?"}
{"pair_id": "d2_s0597_N3_v1", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How do stacked QRNNs compare to stacked GRUs of the same hidden size in accuracy and speed?"}
{"pair_id": "d2_s0597_N3_v2", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How do stacked CNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?"}
{"pair_id": "d2_s0597_N4_v4", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "What accuracy degradation do stacked QRNNs suffer relative to stacked LSTMs of the same hidden size?"}
{"pair_id": "d2_s0597_N5_v1", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "What is the minimum speedup stacked QRNNs achieve over stacked LSTMs of the same hidden size?"}
{"pair_id": "d2_s0597_N6_v1", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "What gives stacked QRNNs the increased parallelism that makes them faster than stacked LSTMs of the same hidden size?"}
{"pair_id": "d2_s0597_N6_v2", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "On which tasks were stacked QRNNs and stacked LSTMs of the same hidden size compared?"}
{"pair_id": "d2_s0597_P1_v2", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How do stacked QRNNs stack up against stacked LSTMs of equal hidden dimension on predictive quality and runtime?"}
{"pair_id": "d2_s0597_P1_v3", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "What is the comparison between stacked QRNNs and stacked LSTMs of identical hidden size regarding prediction quality and execution speed?"}
{"pair_id": "d2_s0597_P1_v4", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "How do stacked QRNNs measure up to same-hidden-size stacked LSTMs in predictive accuracy and processing speed?"}
{"pair_id": "d2_s0597_P3_v1", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "how do stacked qrnns compare to stacked lstms w/ same hidden size in acc and speed?"}
{"pair_id": "d2_s0597_P3_v4", "cached_question": "How do stacked QRNNs compare to stacked LSTMs of the same hidden size in accuracy and speed?", "cached_answer": "Stacked QRNNs have better predictive accuracy than stacked LSTMs of the same hidden size, and are up to 16 times faster at train and test time due to their increased parallelism.", "new_query": "qrnn stacked vs lstm stacked same hidden size... which one is more acurate and faster?"}
{"pair_id": "d2_s0598_N2_v2", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "On which tasks have QRNNs been evaluated across the whole literature?"}
{"pair_id": "d2_s0598_N3_v2", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "On which three tasks were QRNNs evaluated in the follow-up paper?"}
{"pair_id": "d2_s0598_N4_v4", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "Which three tasks in this paper were evaluated without QRNNs?"}
{"pair_id": "d2_s0598_N5_v1", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "On which task did QRNNs perform best among those evaluated in this paper?"}
{"pair_id": "d2_s0598_P1_v4", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "Which three benchmarks did the authors use to evaluate QRNNs in this paper?"}
{"pair_id": "d2_s0598_P2_v3", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "I need the list of three tasks used for QRNN evaluation in this paper."}
{"pair_id": "d2_s0598_P2_v4", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "The QRNN experiments in this paper cover three tasks; what are they?"}
{"pair_id": "d2_s0598_P3_v2", "cached_question": "On which three tasks were QRNNs evaluated in this paper?", "cached_answer": "QRNNs were evaluated on language modeling, sentiment classification, and character-level neural machine translation.", "new_query": "what 3 tasks did they eval qrnns on in this paper"}
