You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0518
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d1_s0710_N4_v1", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "When is Assignment 4 for Methods of Policy Analysis handed out?"}
{"pair_id": "d1_s0711_P3_v2", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "methods of policy analysis — do u get credit for doing BOTH options of assgnment 4??"}
{"pair_id": "d1_s0711_P3_v3", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "if i do both optons of assignment 4 in methods of policy analysis do i get credit"}
{"pair_id": "d1_s0711_P3_v4", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "assignment 4 both options = credit? methods of policy analysis"}
{"pair_id": "d1_s0715_N3_v2", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "Who instructs 11.005 Introduction to International Development, and can the midterm paper be done in groups?"}
{"pair_id": "d1_s0715_N5_v1", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "Who instructs 11.005 Introduction to International Development, and what is the largest final-project group ever allowed by exception?"}
{"pair_id": "d1_s0715_N5_v3", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "Who first instructed 11.005 Introduction to International Development, and could the final project be done in groups then?"}
{"pair_id": "d1_s0715_N6_v1", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "Who instructs 11.005 Introduction to International Development, and when is the final project due?"}
{"pair_id": "d1_s0715_P1_v2", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "Which professor teaches 11.005 Introduction to International Development, and may the final project be completed as a team?"}
{"pair_id": "d1_s0715_P1_v3", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "Who leads 11.005 Introduction to International Development, and can students team up for the final project?"}
{"pair_id": "d1_s0715_P2_v2", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "For 11.005 Introduction to International Development, the instructor is who, and can the final project be a group submission?"}
{"pair_id": "d1_s0715_P2_v3", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "I'd like to know the instructor of 11.005 Introduction to International Development, plus whether the final project can be done in groups."}
{"pair_id": "d1_s0715_P2_v4", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "By whom is 11.005 Introduction to International Development taught, and is group work an option on the final project?"}
{"pair_id": "d1_s0715_P3_v3", "cached_question": "Who instructs 11.005 Introduction to International Development, and can the final project be done in groups?", "cached_answer": "Cauam Ferreira Cardoso instructs the course, and the final project can be developed independently or in groups of 2 or 3 students.", "new_query": "who teachs 11.005 Introducton to Internatonal Developmnt and can the finl project be dne in grups"}
{"pair_id": "d1_s0716_N1_v1", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "When is the final project in Introduction to International Development due?"}
{"pair_id": "d1_s0716_N1_v2", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "How is the final project in Introduction to International Development graded?"}
{"pair_id": "d1_s0716_N2_v1", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "What sections make up the outline portion of the final project in Introduction to International Development?"}
{"pair_id": "d1_s0716_N3_v2", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "What three components make up the midterm project in Introduction to International Development?"}
{"pair_id": "d1_s0716_N4_v1", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "Which part of the final project in Introduction to International Development is optional rather than required?"}
{"pair_id": "d1_s0716_N5_v1", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "Which component of the final project in Introduction to International Development is due first?"}
{"pair_id": "d1_s0716_P2_v1", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "List the three components of the final project in Introduction to International Development."}
{"pair_id": "d1_s0716_P2_v3", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "I'd like to know the three parts the Introduction to International Development final project breaks into."}
{"pair_id": "d1_s0716_P2_v4", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "For Introduction to International Development, what three things must be produced for the final project?"}
{"pair_id": "d1_s0716_P3_v3", "cached_question": "What three components make up the final project in Introduction to International Development?", "cached_answer": "The final project consists of an outline (created from a final project outline template PDF), a class presentation, and a final paper.", "new_query": "wat r the three componets of the final proj in introduction to international developement"}
{"pair_id": "d1_s0717_N2_v1", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "Does the required word count for the final project paper include the bibliography?"}
{"pair_id": "d1_s0717_N2_v2", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "What is the required word count for the final project paper's literature review section?"}
{"pair_id": "d1_s0717_N3_v1", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "What is the required word count for the midterm paper, and does it differ for individual versus group submissions?"}
{"pair_id": "d1_s0717_N4_v3", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "Is the word count for the final project paper a recommendation rather than a requirement?"}
{"pair_id": "d1_s0717_N5_v4", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "What is the largest word count permitted for any final project paper?"}
{"pair_id": "d1_s0717_P1_v1", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "What length is required for the final project paper, and is the requirement different for solo versus team submissions?"}
{"pair_id": "d1_s0717_P1_v2", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "How many words must the final project paper contain, and does that vary between individual and group work?"}
{"pair_id": "d1_s0717_P1_v3", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "What word count is mandated for the final project essay, and does it change for papers written alone versus with a group?"}
{"pair_id": "d1_s0717_P1_v4", "cached_question": "What is the required word count for the final project paper, and does it differ for individual versus group submissions?", "cached_answer": "Yes — an individually written paper must be 2,500 to 3,000 words, while a group-written paper must be 5,000–6,000 words.", "new_query": "What is the stipulated word length of the final project paper, and does it depend on whether it is written individually or as a group?"}
